bar,event_ts,exp_value,exp_z,exp_state,exp_computed_at,exp_module_state
50,1792454400000000000,0.3741121278,-4.3362783781,mr,1792454400000000000,OK
51,1792540800000000000,0.4381829228,-3.8923828889,mr,1792540800000000000,OK
52,1792627200000000000,0.5382587708,-3.1990370760,mr,1792627200000000000,OK
53,1792713600000000000,0.5666252614,-3.0025082637,mr,1792713600000000000,OK
54,1792800000000000000,0.6131368065,-2.6802668269,mr,1792800000000000000,OK
55,1792886400000000000,0.6392423758,-2.4994021372,mr,1792886400000000000,OK
56,1792972800000000000,0.7151227870,-1.9736872272,mr,1792972800000000000,OK
57,1793059200000000000,0.7637481215,-1.6368010281,indeterminate,1793059200000000000,OK
58,1793145600000000000,0.8631646479,-0.9480231285,indeterminate,1793145600000000000,OK
59,1793232000000000000,0.8773004845,-0.8500871794,indeterminate,1793232000000000000,OK
60,1793318400000000000,0.9048857690,-0.6589707222,indeterminate,1793318400000000000,OK
61,1793404800000000000,1.0291531452,0.2019789145,indeterminate,1793404800000000000,OK
62,1793491200000000000,1.1996588471,1.3832770692,indeterminate,1793491200000000000,OK
63,1793577600000000000,1.3420131360,2.3695365136,momentum,1793577600000000000,OK
64,1793664000000000000,1.4777595687,3.3100153871,momentum,1793664000000000000,OK
65,1793750400000000000,1.4440609394,3.0765444345,momentum,1793750400000000000,OK
66,1793836800000000000,1.2504364960,1.7350749406,momentum,1793836800000000000,OK
67,1793923200000000000,1.2278112120,1.5783223749,indeterminate,1793923200000000000,OK
68,1794009600000000000,1.1859858103,1.2885474920,indeterminate,1794009600000000000,OK
69,1794096000000000000,1.1337672286,0.9267665453,indeterminate,1794096000000000000,OK
70,1794182400000000000,1.1157474956,0.8019221729,indeterminate,1794182400000000000,OK
71,1794268800000000000,1.0211645842,0.1466325404,indeterminate,1794268800000000000,OK
72,1794355200000000000,1.0469755881,0.3254564211,indeterminate,1794355200000000000,OK
73,1794441600000000000,1.1255250218,0.8696628615,indeterminate,1794441600000000000,OK
74,1794528000000000000,1.1199734576,0.8312004968,indeterminate,1794528000000000000,OK
75,1794614400000000000,1.0928171853,0.6430563231,indeterminate,1794614400000000000,OK
76,1794700800000000000,1.1874959882,1.2990103114,indeterminate,1794700800000000000,OK
77,1794787200000000000,1.2120723796,1.4692805456,indeterminate,1794787200000000000,OK
78,1794873600000000000,1.2292747847,1.5884623043,indeterminate,1794873600000000000,OK
79,1794960000000000000,1.1691157803,1.1716684954,indeterminate,1794960000000000000,OK
80,1795046400000000000,1.1110730568,0.7695367111,indeterminate,1795046400000000000,OK
81,1795132800000000000,1.1436068925,0.9949377367,indeterminate,1795132800000000000,OK
82,1795219200000000000,1.1604551392,1.1116658139,indeterminate,1795219200000000000,OK
83,1795305600000000000,1.1751376810,1.2133894476,indeterminate,1795305600000000000,OK
84,1795392000000000000,1.1071252922,0.7421857952,indeterminate,1795392000000000000,OK
85,1795478400000000000,0.9666236109,-0.2312384066,indeterminate,1795478400000000000,OK
86,1795564800000000000,0.8922838516,-0.7462793676,indeterminate,1795564800000000000,OK
87,1795651200000000000,0.9253745214,-0.5170204818,indeterminate,1795651200000000000,OK
88,1795737600000000000,0.8674880211,-0.9180699201,indeterminate,1795737600000000000,OK
89,1795824000000000000,0.8024498728,-1.3686674294,indeterminate,1795824000000000000,OK
90,1795910400000000000,0.9040435745,-0.6648056168,indeterminate,1795910400000000000,OK
91,1795996800000000000,0.7965799649,-1.4093353440,indeterminate,1795996800000000000,OK
92,1796083200000000000,0.8965045862,-0.7170372599,indeterminate,1796083200000000000,OK
93,1796169600000000000,0.6673028531,-2.3049934478,mr,1796169600000000000,OK
94,1796256000000000000,0.9015151515,-0.6823230454,indeterminate,1796256000000000000,OK
95,1796342400000000000,0.9015151515,-0.6823230454,indeterminate,1796342400000000000,OK
96,1796428800000000000,0.9015151515,-0.6823230454,indeterminate,1796428800000000000,OK
97,1796515200000000000,0.7500000000,-1.7320508076,indeterminate,1796515200000000000,OK
98,1796601600000000000,0.8452380952,-1.0722219285,indeterminate,1796601600000000000,OK
99,1796688000000000000,0.8452380952,-1.0722219285,indeterminate,1796688000000000000,OK
100,1796774400000000000,0.8452380952,-1.0722219285,indeterminate,1796774400000000000,OK
