# TYPE: validation-run
# R007 - Trend-strength regime: synthetic input tape (170 daily HLC bars).
# Deterministic construction via test_R007.gen_tape() (no RNG):
#   bars 1-50  : chop - hard +/-1.5 alternation (strongly anti-persistent)
#   bars 51-110: steady uptrend (+1.0 + 0.3*sin(i) per bar)
#   bars 111-170: chop - hard +/-1.2 alternation
# event_ts = 2024-01-02T21:00:00Z (16:00 ET close) + (bar-1) days; synthetic
# consecutive-day calendar (weekends ignored). All numbers synthetic.
bar,event_ts,asof_ts,h,l,c
108,1713474000000000000,1713477600000000000,157.2402,156.4402,156.8402
109,1713560400000000000,1713564000000000000,158.4853,157.6853,158.0853
110,1713646800000000000,1713650400000000000,159.472,158.672,159.072
111,1713733200000000000,1713736800000000000,160.672,159.872,160.272
112,1713819600000000000,1713823200000000000,158.272,157.472,157.872
113,1713906000000000000,1713909600000000000,160.672,159.872,160.272
114,1713992400000000000,1713996000000000000,158.272,157.472,157.872
115,1714078800000000000,1714082400000000000,160.672,159.872,160.272
116,1714165200000000000,1714168800000000000,158.272,157.472,157.872
117,1714251600000000000,1714255200000000000,160.672,159.872,160.272
118,1714338000000000000,1714341600000000000,158.272,157.472,157.872
119,1714424400000000000,1714428000000000000,160.672,159.872,160.272
120,1714510800000000000,1714514400000000000,158.272,157.472,157.872
121,1714597200000000000,1714600800000000000,160.672,159.872,160.272
122,1714683600000000000,1714687200000000000,158.272,157.472,157.872
123,1714770000000000000,1714773600000000000,160.672,159.872,160.272
124,1714856400000000000,1714860000000000000,158.272,157.472,157.872
125,1714942800000000000,1714946400000000000,160.672,159.872,160.272
126,1715029200000000000,1715032800000000000,158.272,157.472,157.872
127,1715115600000000000,1715119200000000000,160.672,159.872,160.272
128,1715202000000000000,1715205600000000000,158.272,157.472,157.872
129,1715288400000000000,1715292000000000000,160.672,159.872,160.272
130,1715374800000000000,1715378400000000000,158.272,157.472,157.872
131,1715461200000000000,1715464800000000000,160.672,159.872,160.272
132,1715547600000000000,1715551200000000000,158.272,157.472,157.872
133,1715634000000000000,1715637600000000000,160.672,159.872,160.272
134,1715720400000000000,1715724000000000000,158.272,157.472,157.872
135,1715806800000000000,1715810400000000000,160.672,159.872,160.272
136,1715893200000000000,1715896800000000000,158.272,157.472,157.872
137,1715979600000000000,1715983200000000000,160.672,159.872,160.272
138,1716066000000000000,1716069600000000000,158.272,157.472,157.872
139,1716152400000000000,1716156000000000000,160.672,159.872,160.272
140,1716238800000000000,1716242400000000000,158.272,157.472,157.872
141,1716325200000000000,1716328800000000000,160.672,159.872,160.272
142,1716411600000000000,1716415200000000000,158.272,157.472,157.872
143,1716498000000000000,1716501600000000000,160.672,159.872,160.272
144,1716584400000000000,1716588000000000000,158.272,157.472,157.872
145,1716670800000000000,1716674400000000000,160.672,159.872,160.272
146,1716757200000000000,1716760800000000000,158.272,157.472,157.872
147,1716843600000000000,1716847200000000000,160.672,159.872,160.272
148,1716930000000000000,1716933600000000000,158.272,157.472,157.872
149,1717016400000000000,1717020000000000000,160.672,159.872,160.272
150,1717102800000000000,1717106400000000000,158.272,157.472,157.872
151,1717189200000000000,1717192800000000000,160.672,159.872,160.272
152,1717275600000000000,1717279200000000000,158.272,157.472,157.872
153,1717362000000000000,1717365600000000000,160.672,159.872,160.272
154,1717448400000000000,1717452000000000000,158.272,157.472,157.872
155,1717534800000000000,1717538400000000000,160.672,159.872,160.272
156,1717621200000000000,1717624800000000000,158.272,157.472,157.872
157,1717707600000000000,1717711200000000000,160.672,159.872,160.272
158,1717794000000000000,1717797600000000000,158.272,157.472,157.872
159,1717880400000000000,1717884000000000000,160.672,159.872,160.272
160,1717966800000000000,1717970400000000000,158.272,157.472,157.872
161,1718053200000000000,1718056800000000000,160.672,159.872,160.272
162,1718139600000000000,1718143200000000000,158.272,157.472,157.872
163,1718226000000000000,1718229600000000000,160.672,159.872,160.272
164,1718312400000000000,1718316000000000000,158.272,157.472,157.872
165,1718398800000000000,1718402400000000000,160.672,159.872,160.272
166,1718485200000000000,1718488800000000000,158.272,157.472,157.872
167,1718571600000000000,1718575200000000000,160.672,159.872,160.272
168,1718658000000000000,1718661600000000000,158.272,157.472,157.872
169,1718744400000000000,1718748000000000000,160.672,159.872,160.272
170,1718830800000000000,1718834400000000000,158.272,157.472,157.872
