# TYPE: validation-run
# R008: expected indicator values/states, computed causally from the tape
# by the chapter's normative algorithm (test_R008.py reference implementation).
# exp_pct in [0,1] (mid-rank, causal); exp_age = compression age in bars.
bar,event_ts,exp_value,exp_pct,exp_age,exp_state,exp_computed_at,exp_module_state
76,1758153600000000000,nan,nan,0,warming,1758153600000000000,DEGRADED
77,1758240000000000000,nan,nan,0,warming,1758240000000000000,DEGRADED
78,1758499200000000000,nan,nan,0,warming,1758499200000000000,DEGRADED
79,1758585600000000000,nan,nan,0,warming,1758585600000000000,DEGRADED
80,1758672000000000000,nan,nan,0,warming,1758672000000000000,DEGRADED
81,1758758400000000000,0.0145944804039,0.016393442623,1,normal,1758758400000000000,OK
82,1758844800000000000,0.0136720137499,0,2,normal,1758844800000000000,OK
83,1759104000000000000,0.010780364075,0,3,normal,1759104000000000000,OK
84,1759190400000000000,0.00939825644369,0,4,normal,1759190400000000000,OK
85,1759276800000000000,0.00989673272511,0.0153846153846,5,normal,1759276800000000000,OK
86,1759363200000000000,0.00983382537535,0.0151515151515,6,squeeze,1759363200000000000,OK
87,1759449600000000000,0.010407382638,0.044776119403,7,squeeze,1759449600000000000,OK
88,1759708800000000000,0.0114138213823,0.0735294117647,8,squeeze,1759708800000000000,OK
89,1759795200000000000,0.0119305708936,0.0869565217391,9,squeeze,1759795200000000000,OK
90,1759881600000000000,0.0116895550923,0.0857142857143,10,squeeze,1759881600000000000,OK
91,1759968000000000000,0.0110299069637,0.0704225352113,11,squeeze,1759968000000000000,OK
92,1760054400000000000,0.0106194624259,0.0555555555556,12,squeeze,1760054400000000000,OK
93,1760313600000000000,0.0100317588548,0.041095890411,13,squeeze,1760313600000000000,OK
94,1760400000000000000,0.00905788794007,0,14,squeeze,1760400000000000000,OK
95,1760486400000000000,0.00841985817173,0,15,squeeze,1760486400000000000,OK
96,1760572800000000000,0.00801348950926,0,16,squeeze,1760572800000000000,OK
97,1760659200000000000,0.00745287634931,0,17,squeeze,1760659200000000000,OK
98,1760918400000000000,0.00693443830236,0,18,squeeze,1760918400000000000,OK
99,1761004800000000000,0.00727852597115,0.0126582278481,19,squeeze,1761004800000000000,OK
100,1761091200000000000,0.00757121557996,0.0375,20,squeeze,1761091200000000000,OK
101,1761177600000000000,0.0226880882446,0.382716049383,0,normal,1761177600000000000,OK
102,1761264000000000000,0.0393616247581,0.914634146341,0,expansion,1761264000000000000,UNKNOWN
103,1761523200000000000,0.0663998621733,1,0,expansion,1761523200000000000,OK
104,1761609600000000000,0.0795394330171,1,0,expansion,1761609600000000000,OK
105,1761696000000000000,0.103849663821,1,0,expansion,1761696000000000000,OK
106,1761782400000000000,0.130044648364,1,0,expansion,1761782400000000000,OK
107,1761868800000000000,0.142393056374,1,0,expansion,1761868800000000000,OK
108,1762128000000000000,0.148678360858,1,0,expansion,1762128000000000000,OK
109,1762214400000000000,0.15415544659,1,0,expansion,1762214400000000000,OK
110,1762300800000000000,0.156483272246,1,0,expansion,1762300800000000000,OK
111,1762387200000000000,0.158027305982,1,0,expansion,1762387200000000000,OK
112,1762473600000000000,0.156192288729,0.978260869565,0,expansion,1762473600000000000,OK
113,1762732800000000000,0.156113333751,0.967741935484,0,expansion,1762732800000000000,OK
114,1762819200000000000,0.154406441652,0.957446808511,0,expansion,1762819200000000000,OK
115,1762905600000000000,0.150612648155,0.936842105263,0,expansion,1762905600000000000,OK
116,1762992000000000000,0.14370628883,0.916666666667,0,expansion,1762992000000000000,OK
117,1763078400000000000,0.133627260691,0.896907216495,0,expansion,1763078400000000000,OK
118,1763337600000000000,0.119876593113,0.877551020408,0,expansion,1763337600000000000,OK
119,1763424000000000000,0.101490995288,0.858585858586,0,expansion,1763424000000000000,OK
120,1763510400000000000,0.075479620773,0.84,0,expansion,1763510400000000000,OK
121,1763596800000000000,0.05774185161,0.821782178218,0,expansion,1763596800000000000,OK
122,1763683200000000000,0.042114374145,0.813725490196,0,expansion,1763683200000000000,OK
123,1763942400000000000,0.0377323446699,0.699029126214,0,normal,1763942400000000000,UNKNOWN
124,1764028800000000000,0.0267494926678,0.471153846154,0,normal,1764028800000000000,UNKNOWN
125,1764115200000000000,0.0266301595959,0.466666666667,0,normal,1764115200000000000,UNKNOWN
126,1764288000000000000,0.023159025132,0.311320754717,0,normal,1764288000000000000,UNKNOWN
127,1764547200000000000,0.0231570782985,0.308411214953,0,normal,1764547200000000000,OK
128,1764633600000000000,0.021929177521,0.287037037037,0,normal,1764633600000000000,OK
129,1764720000000000000,0.0220166953926,0.293577981651,0,normal,1764720000000000000,OK
130,1764806400000000000,0.0205449765278,0.254545454545,0,normal,1764806400000000000,OK
