# TYPE: validation-run
# SEED: 20260915
# PI: 0.6 (estimation_trade cases only)
# DGP: dP_t = c1*Q_t + c2*Q_{t-1} + c3*Q_{t-2}; c1=0.01 c2=-0.004 c3=0.0007; signs Markov chain pi=0.6
# P_1 = P0 + c1*Q_1 anchor; regression uses t>=2
case_type,name,t,P,Q,spread,alpha,beta
estimation_trade,hs3,61,99.9712000000,1,,,
estimation_trade,hs3,62,99.9565000000,-1,,,
estimation_trade,hs3,63,99.9512000000,-1,,,
estimation_trade,hs3,64,99.9645000000,1,,,
estimation_trade,hs3,65,99.9498000000,-1,,,
estimation_trade,hs3,66,99.9645000000,1,,,
estimation_trade,hs3,67,99.9498000000,-1,,,
estimation_trade,hs3,68,99.9445000000,-1,,,
estimation_trade,hs3,69,99.9378000000,-1,,,
estimation_trade,hs3,70,99.9511000000,1,,,
estimation_trade,hs3,71,99.9364000000,-1,,,
estimation_trade,hs3,72,99.9311000000,-1,,,
estimation_trade,hs3,73,99.9244000000,-1,,,
estimation_trade,hs3,74,99.9377000000,1,,,
estimation_trade,hs3,75,99.9230000000,-1,,,
estimation_trade,hs3,76,99.9377000000,1,,,
estimation_trade,hs3,77,99.9230000000,-1,,,
estimation_trade,hs3,78,99.9177000000,-1,,,
estimation_trade,hs3,79,99.9310000000,1,,,
estimation_trade,hs3,80,99.9163000000,-1,,,
estimation_trade,hs3,81,99.9110000000,-1,,,
estimation_trade,hs3,82,99.9243000000,1,,,
estimation_trade,hs3,83,99.9096000000,-1,,,
estimation_trade,hs3,84,99.9243000000,1,,,
estimation_trade,hs3,85,99.9296000000,1,,,
estimation_trade,hs3,86,99.9163000000,-1,,,
estimation_trade,hs3,87,99.9110000000,-1,,,
estimation_trade,hs3,88,99.9243000000,1,,,
estimation_trade,hs3,89,99.9296000000,1,,,
estimation_trade,hs3,90,99.9163000000,-1,,,
estimation_trade,hs3,91,99.9310000000,1,,,
estimation_trade,hs3,92,99.9363000000,1,,,
estimation_trade,hs3,93,99.9230000000,-1,,,
estimation_trade,hs3,94,99.9377000000,1,,,
estimation_trade,hs3,95,99.9230000000,-1,,,
estimation_trade,hs3,96,99.9377000000,1,,,
estimation_trade,hs3,97,99.9230000000,-1,,,
estimation_trade,hs3,98,99.9177000000,-1,,,
estimation_trade,hs3,99,99.9110000000,-1,,,
estimation_trade,hs3,100,99.9043000000,-1,,,
estimation_trade,hs3,101,99.8976000000,-1,,,
estimation_trade,hs3,102,99.8909000000,-1,,,
estimation_trade,hs3,103,99.9042000000,1,,,
estimation_trade,hs3,104,99.9095000000,1,,,
estimation_trade,hs3,105,99.8962000000,-1,,,
estimation_trade,hs3,106,99.8909000000,-1,,,
estimation_trade,hs3,107,99.8842000000,-1,,,
estimation_trade,hs3,108,99.8975000000,1,,,
estimation_trade,hs3,109,99.8828000000,-1,,,
estimation_trade,hs3,110,99.8975000000,1,,,
estimation_trade,hs3,111,99.8828000000,-1,,,
estimation_trade,hs3,112,99.8775000000,-1,,,
estimation_trade,hs3,113,99.8908000000,1,,,
estimation_trade,hs3,114,99.8761000000,-1,,,
estimation_trade,hs3,115,99.8708000000,-1,,,
estimation_trade,hs3,116,99.8641000000,-1,,,
estimation_trade,hs3,117,99.8774000000,1,,,
estimation_trade,hs3,118,99.8827000000,1,,,
estimation_trade,hs3,119,99.8894000000,1,,,
estimation_trade,hs3,120,99.8761000000,-1,,,
estimation_trade,hs3,121,99.8908000000,1,,,
estimation_trade,hs3,122,99.8761000000,-1,,,
estimation_trade,hs3,123,99.8708000000,-1,,,
estimation_trade,hs3,124,99.8841000000,1,,,
estimation_trade,hs3,125,99.8694000000,-1,,,
estimation_trade,hs3,126,99.8641000000,-1,,,
estimation_trade,hs3,127,99.8774000000,1,,,
estimation_trade,hs3,128,99.8627000000,-1,,,
estimation_trade,hs3,129,99.8774000000,1,,,
estimation_trade,hs3,130,99.8627000000,-1,,,
estimation_trade,hs3,131,99.8774000000,1,,,
estimation_trade,hs3,132,99.8627000000,-1,,,
estimation_trade,hs3,133,99.8774000000,1,,,
estimation_trade,hs3,134,99.8627000000,-1,,,
estimation_trade,hs3,135,99.8574000000,-1,,,
estimation_trade,hs3,136,99.8507000000,-1,,,
estimation_trade,hs3,137,99.8440000000,-1,,,
estimation_trade,hs3,138,99.8573000000,1,,,
estimation_trade,hs3,139,99.8426000000,-1,,,
estimation_trade,hs3,140,99.8573000000,1,,,
estimation_trade,hs3,141,99.8426000000,-1,,,
estimation_trade,hs3,142,99.8373000000,-1,,,
estimation_trade,hs3,143,99.8506000000,1,,,
estimation_trade,hs3,144,99.8359000000,-1,,,
estimation_trade,hs3,145,99.8306000000,-1,,,
estimation_trade,hs3,146,99.8439000000,1,,,
estimation_trade,hs3,147,99.8292000000,-1,,,
estimation_trade,hs3,148,99.8239000000,-1,,,
estimation_trade,hs3,149,99.8372000000,1,,,
estimation_trade,hs3,150,99.8425000000,1,,,
estimation_trade,hs3,151,99.8292000000,-1,,,
estimation_trade,hs3,152,99.8239000000,-1,,,
estimation_trade,hs3,153,99.8372000000,1,,,
estimation_trade,hs3,154,99.8425000000,1,,,
estimation_trade,hs3,155,99.8492000000,1,,,
estimation_trade,hs3,156,99.8559000000,1,,,
estimation_trade,hs3,157,99.8426000000,-1,,,
estimation_trade,hs3,158,99.8373000000,-1,,,
estimation_trade,hs3,159,99.8506000000,1,,,
estimation_trade,hs3,160,99.8359000000,-1,,,
estimation_trade,hs3,161,99.8306000000,-1,,,
estimation_trade,hs3,162,99.8439000000,1,,,
estimation_trade,hs3,163,99.8292000000,-1,,,
estimation_trade,hs3,164,99.8439000000,1,,,
estimation_trade,hs3,165,99.8292000000,-1,,,
estimation_trade,hs3,166,99.8439000000,1,,,
estimation_trade,hs3,167,99.8292000000,-1,,,
estimation_trade,hs3,168,99.8439000000,1,,,
estimation_trade,hs3,169,99.8292000000,-1,,,
estimation_trade,hs3,170,99.8439000000,1,,,
estimation_trade,hs3,171,99.8292000000,-1,,,
estimation_trade,hs3,172,99.8239000000,-1,,,
estimation_trade,hs3,173,99.8372000000,1,,,
estimation_trade,hs3,174,99.8225000000,-1,,,
estimation_trade,hs3,175,99.8372000000,1,,,
estimation_trade,hs3,176,99.8225000000,-1,,,
estimation_trade,hs3,177,99.8372000000,1,,,
estimation_trade,hs3,178,99.8425000000,1,,,
estimation_trade,hs3,179,99.8292000000,-1,,,
estimation_trade,hs3,180,99.8439000000,1,,,
estimation_trade,hs3,181,99.8292000000,-1,,,
estimation_trade,hs3,182,99.8439000000,1,,,
estimation_trade,hs3,183,99.8292000000,-1,,,
estimation_trade,hs3,184,99.8239000000,-1,,,
estimation_trade,hs3,185,99.8372000000,1,,,
estimation_trade,hs3,186,99.8425000000,1,,,
estimation_trade,hs3,187,99.8292000000,-1,,,
estimation_trade,hs3,188,99.8439000000,1,,,
estimation_trade,hs3,189,99.8292000000,-1,,,
estimation_trade,hs3,190,99.8439000000,1,,,
estimation_trade,hs3,191,99.8492000000,1,,,
estimation_trade,hs3,192,99.8359000000,-1,,,
estimation_trade,hs3,193,99.8506000000,1,,,
estimation_trade,hs3,194,99.8359000000,-1,,,
estimation_trade,hs3,195,99.8306000000,-1,,,
estimation_trade,hs3,196,99.8239000000,-1,,,
estimation_trade,hs3,197,99.8172000000,-1,,,
estimation_trade,hs3,198,99.8105000000,-1,,,
estimation_trade,hs3,199,99.8238000000,1,,,
estimation_trade,hs3,200,99.8091000000,-1,,,
estimation_trade,hs3,201,99.8038000000,-1,,,
estimation_trade,hs3,202,99.8171000000,1,,,
estimation_trade,hs3,203,99.8224000000,1,,,
estimation_trade,hs3,204,99.8091000000,-1,,,
estimation_trade,hs3,205,99.8238000000,1,,,
estimation_trade,hs3,206,99.8291000000,1,,,
estimation_trade,hs3,207,99.8358000000,1,,,
estimation_trade,hs3,208,99.8225000000,-1,,,
estimation_trade,hs3,209,99.8372000000,1,,,
estimation_trade,hs3,210,99.8225000000,-1,,,
estimation_trade,hs3,211,99.8372000000,1,,,
estimation_trade,hs3,212,99.8225000000,-1,,,
estimation_trade,hs3,213,99.8372000000,1,,,
estimation_trade,hs3,214,99.8225000000,-1,,,
estimation_trade,hs3,215,99.8372000000,1,,,
estimation_trade,hs3,216,99.8225000000,-1,,,
estimation_trade,hs3,217,99.8372000000,1,,,
estimation_trade,hs3,218,99.8225000000,-1,,,
estimation_trade,hs3,219,99.8372000000,1,,,
estimation_trade,hs3,220,99.8425000000,1,,,
estimation_trade,hs3,221,99.8492000000,1,,,
estimation_trade,hs3,222,99.8359000000,-1,,,
estimation_trade,hs3,223,99.8506000000,1,,,
estimation_trade,hs3,224,99.8359000000,-1,,,
estimation_trade,hs3,225,99.8506000000,1,,,
estimation_trade,hs3,226,99.8559000000,1,,,
estimation_trade,hs3,227,99.8426000000,-1,,,
estimation_trade,hs3,228,99.8573000000,1,,,
estimation_trade,hs3,229,99.8426000000,-1,,,
estimation_trade,hs3,230,99.8373000000,-1,,,
estimation_trade,hs3,231,99.8506000000,1,,,
estimation_trade,hs3,232,99.8359000000,-1,,,
estimation_trade,hs3,233,99.8506000000,1,,,
estimation_trade,hs3,234,99.8559000000,1,,,
estimation_trade,hs3,235,99.8426000000,-1,,,
estimation_trade,hs3,236,99.8373000000,-1,,,
estimation_trade,hs3,237,99.8506000000,1,,,
estimation_trade,hs3,238,99.8359000000,-1,,,
estimation_trade,hs3,239,99.8506000000,1,,,
estimation_trade,hs3,240,99.8359000000,-1,,,
estimation_trade,hs3,241,99.8506000000,1,,,
estimation_trade,hs3,242,99.8359000000,-1,,,
estimation_trade,hs3,243,99.8306000000,-1,,,
estimation_trade,hs3,244,99.8239000000,-1,,,
estimation_trade,hs3,245,99.8372000000,1,,,
estimation_trade,hs3,246,99.8425000000,1,,,
estimation_trade,hs3,247,99.8292000000,-1,,,
estimation_trade,hs3,248,99.8439000000,1,,,
estimation_trade,hs3,249,99.8292000000,-1,,,
estimation_trade,hs3,250,99.8439000000,1,,,
estimation_trade,hs3,251,99.8492000000,1,,,
estimation_trade,hs3,252,99.8359000000,-1,,,
estimation_trade,hs3,253,99.8306000000,-1,,,
estimation_trade,hs3,254,99.8239000000,-1,,,
estimation_trade,hs3,255,99.8372000000,1,,,
estimation_trade,hs3,256,99.8225000000,-1,,,
estimation_trade,hs3,257,99.8372000000,1,,,
estimation_trade,hs3,258,99.8225000000,-1,,,
estimation_trade,hs3,259,99.8372000000,1,,,
estimation_trade,hs3,260,99.8425000000,1,,,
estimation_trade,hs3,261,99.8292000000,-1,,,
estimation_trade,hs3,262,99.8239000000,-1,,,
estimation_trade,hs3,263,99.8172000000,-1,,,
estimation_trade,hs3,264,99.8105000000,-1,,,
estimation_trade,hs3,265,99.8238000000,1,,,
estimation_trade,hs3,266,99.8091000000,-1,,,
estimation_trade,hs3,267,99.8038000000,-1,,,
estimation_trade,hs3,268,99.7971000000,-1,,,
estimation_trade,hs3,269,99.8104000000,1,,,
estimation_trade,hs3,270,99.7957000000,-1,,,
estimation_trade,hs3,271,99.7904000000,-1,,,
estimation_trade,hs3,272,99.8037000000,1,,,
estimation_trade,hs3,273,99.7890000000,-1,,,
estimation_trade,hs3,274,99.8037000000,1,,,
estimation_trade,hs3,275,99.8090000000,1,,,
estimation_trade,hs3,276,99.8157000000,1,,,
estimation_trade,hs3,277,99.8024000000,-1,,,
estimation_trade,hs3,278,99.7971000000,-1,,,
estimation_trade,hs3,279,99.8104000000,1,,,
estimation_trade,hs3,280,99.8157000000,1,,,
estimation_trade,hs3,281,99.8024000000,-1,,,
estimation_trade,hs3,282,99.7971000000,-1,,,
estimation_trade,hs3,283,99.8104000000,1,,,
estimation_trade,hs3,284,99.7957000000,-1,,,
estimation_trade,hs3,285,99.7904000000,-1,,,
estimation_trade,hs3,286,99.7837000000,-1,,,
estimation_trade,hs3,287,99.7970000000,1,,,
estimation_trade,hs3,288,99.7823000000,-1,,,
estimation_trade,hs3,289,99.7770000000,-1,,,
estimation_trade,hs3,290,99.7703000000,-1,,,
estimation_trade,hs3,291,99.7636000000,-1,,,
estimation_trade,hs3,292,99.7769000000,1,,,
estimation_trade,hs3,293,99.7622000000,-1,,,
estimation_trade,hs3,294,99.7569000000,-1,,,
estimation_trade,hs3,295,99.7702000000,1,,,
estimation_trade,hs3,296,99.7555000000,-1,,,
estimation_trade,hs3,297,99.7702000000,1,,,
estimation_trade,hs3,298,99.7755000000,1,,,
estimation_trade,hs3,299,99.7822000000,1,,,
estimation_trade,hs3,300,99.7689000000,-1,,,
estimation_trade,hs3,301,99.7836000000,1,,,
estimation_trade,hs3,302,99.7689000000,-1,,,
estimation_trade,hs3,303,99.7836000000,1,,,
estimation_trade,hs3,304,99.7689000000,-1,,,
estimation_trade,hs3,305,99.7636000000,-1,,,
estimation_trade,hs3,306,99.7569000000,-1,,,
estimation_trade,hs3,307,99.7502000000,-1,,,
estimation_trade,hs3,308,99.7435000000,-1,,,
estimation_trade,hs3,309,99.7568000000,1,,,
estimation_trade,hs3,310,99.7421000000,-1,,,
estimation_trade,hs3,311,99.7568000000,1,,,
estimation_trade,hs3,312,99.7421000000,-1,,,
estimation_trade,hs3,313,99.7568000000,1,,,
estimation_trade,hs3,314,99.7421000000,-1,,,
estimation_trade,hs3,315,99.7368000000,-1,,,
estimation_trade,hs3,316,99.7501000000,1,,,
estimation_trade,hs3,317,99.7354000000,-1,,,
estimation_trade,hs3,318,99.7301000000,-1,,,
estimation_trade,hs3,319,99.7434000000,1,,,
estimation_trade,hs3,320,99.7487000000,1,,,
estimation_trade,hs3,321,99.7354000000,-1,,,
estimation_trade,hs3,322,99.7501000000,1,,,
estimation_trade,hs3,323,99.7554000000,1,,,
estimation_trade,hs3,324,99.7421000000,-1,,,
estimation_trade,hs3,325,99.7568000000,1,,,
estimation_trade,hs3,326,99.7421000000,-1,,,
estimation_trade,hs3,327,99.7368000000,-1,,,
estimation_trade,hs3,328,99.7501000000,1,,,
estimation_trade,hs3,329,99.7354000000,-1,,,
estimation_trade,hs3,330,99.7501000000,1,,,
estimation_trade,hs3,331,99.7554000000,1,,,
estimation_trade,hs3,332,99.7621000000,1,,,
estimation_trade,hs3,333,99.7688000000,1,,,
estimation_trade,hs3,334,99.7755000000,1,,,
estimation_trade,hs3,335,99.7622000000,-1,,,
estimation_trade,hs3,336,99.7569000000,-1,,,
estimation_trade,hs3,337,99.7702000000,1,,,
estimation_trade,hs3,338,99.7755000000,1,,,
estimation_trade,hs3,339,99.7822000000,1,,,
estimation_trade,hs3,340,99.7889000000,1,,,
estimation_trade,hs3,341,99.7756000000,-1,,,
estimation_trade,hs3,342,99.7903000000,1,,,
estimation_trade,hs3,343,99.7756000000,-1,,,
estimation_trade,hs3,344,99.7903000000,1,,,
estimation_trade,hs3,345,99.7756000000,-1,,,
estimation_trade,hs3,346,99.7703000000,-1,,,
estimation_trade,hs3,347,99.7636000000,-1,,,
estimation_trade,hs3,348,99.7769000000,1,,,
estimation_trade,hs3,349,99.7822000000,1,,,
estimation_trade,hs3,350,99.7689000000,-1,,,
estimation_trade,hs3,351,99.7836000000,1,,,
estimation_trade,hs3,352,99.7689000000,-1,,,
estimation_trade,hs3,353,99.7836000000,1,,,
estimation_trade,hs3,354,99.7889000000,1,,,
estimation_trade,hs3,355,99.7756000000,-1,,,
estimation_trade,hs3,356,99.7703000000,-1,,,
estimation_trade,hs3,357,99.7636000000,-1,,,
estimation_trade,hs3,358,99.7569000000,-1,,,
estimation_trade,hs3,359,99.7702000000,1,,,
estimation_trade,hs3,360,99.7555000000,-1,,,
estimation_trade,hs3,361,99.7702000000,1,,,
estimation_trade,hs3,362,99.7555000000,-1,,,
estimation_trade,hs3,363,99.7502000000,-1,,,
estimation_trade,hs3,364,99.7435000000,-1,,,
estimation_trade,hs3,365,99.7568000000,1,,,
estimation_trade,hs3,366,99.7421000000,-1,,,
estimation_trade,hs3,367,99.7568000000,1,,,
estimation_trade,hs3,368,99.7421000000,-1,,,
estimation_trade,hs3,369,99.7568000000,1,,,
estimation_trade,hs3,370,99.7421000000,-1,,,
estimation_trade,hs3,371,99.7568000000,1,,,
estimation_trade,hs3,372,99.7421000000,-1,,,
estimation_trade,hs3,373,99.7568000000,1,,,
estimation_trade,hs3,374,99.7621000000,1,,,
estimation_trade,hs3,375,99.7488000000,-1,,,
estimation_trade,hs3,376,99.7435000000,-1,,,
estimation_trade,hs3,377,99.7568000000,1,,,
estimation_trade,hs3,378,99.7621000000,1,,,
estimation_trade,hs3,379,99.7688000000,1,,,
estimation_trade,hs3,380,99.7555000000,-1,,,
estimation_trade,hs3,381,99.7702000000,1,,,
estimation_trade,hs3,382,99.7755000000,1,,,
estimation_trade,hs3,383,99.7622000000,-1,,,
estimation_trade,hs3,384,99.7769000000,1,,,
estimation_trade,hs3,385,99.7622000000,-1,,,
estimation_trade,hs3,386,99.7769000000,1,,,
estimation_trade,hs3,387,99.7622000000,-1,,,
estimation_trade,hs3,388,99.7569000000,-1,,,
estimation_trade,hs3,389,99.7702000000,1,,,
estimation_trade,hs3,390,99.7755000000,1,,,
estimation_trade,hs3,391,99.7622000000,-1,,,
estimation_trade,hs3,392,99.7769000000,1,,,
estimation_trade,hs3,393,99.7822000000,1,,,
estimation_trade,hs3,394,99.7689000000,-1,,,
estimation_trade,hs3,395,99.7836000000,1,,,
estimation_trade,hs3,396,99.7689000000,-1,,,
estimation_trade,hs3,397,99.7836000000,1,,,
estimation_trade,hs3,398,99.7889000000,1,,,
estimation_trade,hs3,399,99.7756000000,-1,,,
estimation_trade,hs3,400,99.7903000000,1,,,
estimation_trade,hs3,401,99.7756000000,-1,,,
estimation_trade,hs3,402,99.7903000000,1,,,
estimation_trade,hs3,403,99.7756000000,-1,,,
estimation_trade,hs3,404,99.7703000000,-1,,,
estimation_trade,hs3,405,99.7836000000,1,,,
estimation_trade,hs3,406,99.7889000000,1,,,
estimation_trade,hs3,407,99.7756000000,-1,,,
estimation_trade,hs3,408,99.7703000000,-1,,,
estimation_trade,hs3,409,99.7836000000,1,,,
estimation_trade,hs3,410,99.7889000000,1,,,
estimation_trade,hs3,411,99.7756000000,-1,,,
estimation_trade,hs3,412,99.7903000000,1,,,
estimation_trade,hs3,413,99.7956000000,1,,,
estimation_trade,hs3,414,99.7823000000,-1,,,
estimation_trade,hs3,415,99.7970000000,1,,,
estimation_trade,hs3,416,99.7823000000,-1,,,
estimation_trade,hs3,417,99.7970000000,1,,,
estimation_trade,hs3,418,99.7823000000,-1,,,
estimation_trade,hs3,419,99.7770000000,-1,,,
estimation_trade,hs3,420,99.7903000000,1,,,
estimation_trade,hs3,421,99.7756000000,-1,,,
estimation_trade,hs3,422,99.7903000000,1,,,
estimation_trade,hs3,423,99.7756000000,-1,,,
estimation_trade,hs3,424,99.7703000000,-1,,,
estimation_trade,hs3,425,99.7836000000,1,,,
estimation_trade,hs3,426,99.7889000000,1,,,
estimation_trade,hs3,427,99.7956000000,1,,,
estimation_trade,hs3,428,99.7823000000,-1,,,
estimation_trade,hs3,429,99.7970000000,1,,,
estimation_trade,hs3,430,99.7823000000,-1,,,
estimation_trade,hs3,431,99.7770000000,-1,,,
estimation_trade,hs3,432,99.7903000000,1,,,
estimation_trade,hs3,433,99.7756000000,-1,,,
estimation_trade,hs3,434,99.7703000000,-1,,,
estimation_trade,hs3,435,99.7836000000,1,,,
estimation_trade,hs3,436,99.7689000000,-1,,,
estimation_trade,hs3,437,99.7836000000,1,,,
estimation_trade,hs3,438,99.7689000000,-1,,,
estimation_trade,hs3,439,99.7636000000,-1,,,
estimation_trade,hs3,440,99.7769000000,1,,,
estimation_trade,hs3,441,99.7822000000,1,,,
estimation_trade,hs3,442,99.7889000000,1,,,
estimation_trade,hs3,443,99.7756000000,-1,,,
estimation_trade,hs3,444,99.7903000000,1,,,
estimation_trade,hs3,445,99.7756000000,-1,,,
estimation_trade,hs3,446,99.7703000000,-1,,,
estimation_trade,hs3,447,99.7836000000,1,,,
estimation_trade,hs3,448,99.7689000000,-1,,,
estimation_trade,hs3,449,99.7636000000,-1,,,
estimation_trade,hs3,450,99.7769000000,1,,,
estimation_trade,hs3,451,99.7822000000,1,,,
estimation_trade,hs3,452,99.7689000000,-1,,,
estimation_trade,hs3,453,99.7836000000,1,,,
estimation_trade,hs3,454,99.7689000000,-1,,,
estimation_trade,hs3,455,99.7836000000,1,,,
estimation_trade,hs3,456,99.7689000000,-1,,,
estimation_trade,hs3,457,99.7836000000,1,,,
estimation_trade,hs3,458,99.7689000000,-1,,,
estimation_trade,hs3,459,99.7836000000,1,,,
estimation_trade,hs3,460,99.7689000000,-1,,,
estimation_trade,hs3,461,99.7636000000,-1,,,
estimation_trade,hs3,462,99.7769000000,1,,,
estimation_trade,hs3,463,99.7822000000,1,,,
estimation_trade,hs3,464,99.7889000000,1,,,
estimation_trade,hs3,465,99.7956000000,1,,,
estimation_trade,hs3,466,99.8023000000,1,,,
estimation_trade,hs3,467,99.8090000000,1,,,
estimation_trade,hs3,468,99.7957000000,-1,,,
estimation_trade,hs3,469,99.7904000000,-1,,,
estimation_trade,hs3,470,99.7837000000,-1,,,
estimation_trade,hs3,471,99.7770000000,-1,,,
estimation_trade,hs3,472,99.7903000000,1,,,
estimation_trade,hs3,473,99.7756000000,-1,,,
estimation_trade,hs3,474,99.7903000000,1,,,
estimation_trade,hs3,475,99.7956000000,1,,,
estimation_trade,hs3,476,99.8023000000,1,,,
estimation_trade,hs3,477,99.8090000000,1,,,
estimation_trade,hs3,478,99.7957000000,-1,,,
estimation_trade,hs3,479,99.7904000000,-1,,,
estimation_trade,hs3,480,99.8037000000,1,,,
estimation_trade,hs3,481,99.8090000000,1,,,
estimation_trade,hs3,482,99.7957000000,-1,,,
estimation_trade,hs3,483,99.7904000000,-1,,,
estimation_trade,hs3,484,99.7837000000,-1,,,
estimation_trade,hs3,485,99.7970000000,1,,,
estimation_trade,hs3,486,99.7823000000,-1,,,
estimation_trade,hs3,487,99.7970000000,1,,,
estimation_trade,hs3,488,99.7823000000,-1,,,
estimation_trade,hs3,489,99.7970000000,1,,,
estimation_trade,hs3,490,99.7823000000,-1,,,
estimation_trade,hs3,491,99.7970000000,1,,,
estimation_trade,hs3,492,99.7823000000,-1,,,
estimation_trade,hs3,493,99.7770000000,-1,,,
estimation_trade,hs3,494,99.7903000000,1,,,
estimation_trade,hs3,495,99.7756000000,-1,,,
estimation_trade,hs3,496,99.7903000000,1,,,
estimation_trade,hs3,497,99.7756000000,-1,,,
estimation_trade,hs3,498,99.7903000000,1,,,
estimation_trade,hs3,499,99.7956000000,1,,,
estimation_trade,hs3,500,99.7823000000,-1,,,
estimation_trade,hs3,501,99.7770000000,-1,,,
estimation_trade,hs3,502,99.7903000000,1,,,
estimation_trade,hs3,503,99.7956000000,1,,,
estimation_trade,hs3,504,99.7823000000,-1,,,
estimation_trade,hs3,505,99.7770000000,-1,,,
estimation_trade,hs3,506,99.7903000000,1,,,
estimation_trade,hs3,507,99.7756000000,-1,,,
estimation_trade,hs3,508,99.7903000000,1,,,
estimation_trade,hs3,509,99.7756000000,-1,,,
estimation_trade,hs3,510,99.7703000000,-1,,,
estimation_trade,hs3,511,99.7836000000,1,,,
estimation_trade,hs3,512,99.7889000000,1,,,
estimation_trade,hs3,513,99.7956000000,1,,,
estimation_trade,hs3,514,99.7823000000,-1,,,
estimation_trade,hs3,515,99.7770000000,-1,,,
estimation_trade,hs3,516,99.7903000000,1,,,
estimation_trade,hs3,517,99.7756000000,-1,,,
estimation_trade,hs3,518,99.7903000000,1,,,
estimation_trade,hs3,519,99.7956000000,1,,,
estimation_trade,hs3,520,99.7823000000,-1,,,
estimation_trade,hs3,521,99.7770000000,-1,,,
estimation_trade,hs3,522,99.7903000000,1,,,
estimation_trade,hs3,523,99.7756000000,-1,,,
estimation_trade,hs3,524,99.7903000000,1,,,
estimation_trade,hs3,525,99.7756000000,-1,,,
estimation_trade,hs3,526,99.7703000000,-1,,,
estimation_trade,hs3,527,99.7636000000,-1,,,
estimation_trade,hs3,528,99.7569000000,-1,,,
estimation_trade,hs3,529,99.7702000000,1,,,
estimation_trade,hs3,530,99.7555000000,-1,,,
estimation_trade,hs3,531,99.7502000000,-1,,,
estimation_trade,hs3,532,99.7635000000,1,,,
estimation_trade,hs3,533,99.7488000000,-1,,,
