# TYPE: validation-run
# SEGMENTS: 70d each; targets rho = 0.05,0.40,0.95,0.45,0.35,0.95,0.05,0.35,0.42
# SEED: 42031 (PCG64) — deterministic; ts_ns = NYSE calendar days
ts_ns,A,B,C,D,E
1738281600000000000,-0.0069386985,-0.0061024671,0.0065435781,0.0004227004,0.0054304375
1738368000000000000,0.0030507795,0.0057445494,-0.0134780795,0.0052640870,-0.0011141072
1738454400000000000,-0.0022201256,-0.0066796898,-0.0200977063,-0.0041671347,-0.0186178602
1738540800000000000,-0.0213978128,-0.0041763580,-0.0039382207,0.0015547933,-0.0208486084
1738800000000000000,-0.0127468229,-0.0155777292,-0.0160000141,0.0010270409,0.0054947320
1738886400000000000,0.0144647937,0.0087035926,-0.0181224730,-0.0074323861,0.0071783884
1738972800000000000,-0.0062838500,-0.0140961702,-0.0033559604,0.0139660196,-0.0103153415
1739059200000000000,-0.0226707962,-0.0129761526,0.0010428246,-0.0071730572,0.0010656000
1739145600000000000,-0.0050871045,0.0029342536,-0.0021893107,-0.0146072459,0.0311402072
1739404800000000000,-0.0140242000,0.0018362394,-0.0103109019,0.0022703459,-0.0035664321
1739491200000000000,-0.0003865883,-0.0032509189,0.0001201592,-0.0035247449,0.0122512849
1739577600000000000,0.0190230836,-0.0111185649,0.0092467746,0.0147686377,-0.0160434869
1739664000000000000,0.0067374441,-0.0141388478,0.0032731943,-0.0099847523,0.0128774595
1739750400000000000,-0.0157917803,0.0078398571,0.0021810013,0.0303859975,-0.0233017413
1740009600000000000,0.0110278698,-0.0092579570,0.0177461541,0.0269668219,-0.0174132610
1740096000000000000,-0.0067700014,0.0171402367,0.0048927036,0.0003142460,-0.0007966874
1740182400000000000,-0.0066096955,-0.0146161260,-0.0017867487,-0.0208261344,0.0134172344
1740268800000000000,0.0102469002,-0.0000588538,0.0096671236,0.0015852333,-0.0056250682
1740355200000000000,-0.0250967962,-0.0004938855,-0.0042016677,-0.0009068296,0.0145542931
1740614400000000000,0.0025190775,0.0242887799,0.0178845705,0.0154303090,-0.0078465762
1740700800000000000,-0.0007632542,0.0006021586,-0.0111033741,-0.0092587722,-0.0122301770
1740787200000000000,0.0176062344,-0.0109246344,-0.0059031544,-0.0084120415,-0.0016292698
1740873600000000000,0.0006880945,-0.0052105288,0.0234779902,-0.0049236160,-0.0007789283
1740960000000000000,-0.0136348259,0.0121032078,0.0027920493,-0.0158609894,-0.0018715117
1741219200000000000,0.0254321518,0.0004190668,0.0168391770,-0.0149554756,-0.0211828113
1741305600000000000,-0.0069613044,-0.0055634382,0.0110223739,-0.0028020270,-0.0028096456
1741392000000000000,0.0001302631,0.0015560632,0.0067348467,0.0109628141,0.0059853604
1741478400000000000,0.0080312853,0.0152088301,-0.0078233020,-0.0015761830,-0.0121276758
1741564800000000000,0.0020838977,-0.0284818062,-0.0064332205,0.0156461714,-0.0082032783
1741824000000000000,0.0056149522,-0.0084153344,-0.0110677894,0.0145644230,-0.0077532728
1741910400000000000,-0.0055215931,-0.0050033581,0.0107795734,0.0023533923,-0.0061154378
1741996800000000000,0.0075992637,-0.0126270685,-0.0031998413,0.0122273226,-0.0118386139
1742083200000000000,0.0136371854,0.0117934956,0.0182216092,0.0193733803,-0.0030846167
1742169600000000000,0.0095778244,0.0007074885,0.0049334232,0.0034652363,0.0151937610
1742428800000000000,-0.0005244985,-0.0054521089,-0.0024781279,-0.0083602233,-0.0008607948
1742515200000000000,0.0033335639,0.0226461108,0.0007942932,-0.0133808138,-0.0080174824
1742601600000000000,0.0077144868,0.0073230178,-0.0186958610,-0.0016705712,0.0295128361
1742688000000000000,-0.0019947082,-0.0218280854,-0.0066918032,-0.0118139665,-0.0159060078
1742774400000000000,-0.0112053357,-0.0004181982,-0.0090250626,0.0123766896,0.0017205582
1743033600000000000,0.0101269716,-0.0009488999,-0.0075268716,0.0313397893,0.0196454438
1743120000000000000,-0.0137552388,-0.0061733250,0.0070203879,-0.0051009987,0.0014519314
1743206400000000000,0.0023567362,0.0060844759,0.0048085192,-0.0030680470,-0.0247815864
1743292800000000000,-0.0219403946,0.0097380550,0.0035954937,0.0227641923,0.0085102480
1743379200000000000,0.0135506007,-0.0011516619,0.0161684258,0.0194960768,-0.0024973433
1743638400000000000,0.0039070807,0.0057304831,-0.0028829205,-0.0048884810,-0.0147692419
1743724800000000000,0.0081828568,0.0012035410,0.0024257983,0.0031059908,-0.0125559695
1743811200000000000,0.0076282042,-0.0014019120,-0.0068541333,0.0137250952,0.0204662521
1743897600000000000,0.0067393782,0.0062290331,-0.0061926230,0.0005335507,0.0034985370
1743984000000000000,-0.0002865208,-0.0185672243,-0.0045170200,-0.0060372033,-0.0038696626
1744243200000000000,-0.0183351652,-0.0051866677,-0.0287741629,-0.0077760113,-0.0010031353
1744329600000000000,0.0032351475,0.0047646786,0.0048624557,0.0075998559,-0.0103028830
1744416000000000000,-0.0173845232,-0.0180343080,-0.0097556418,-0.0035307379,0.0087512768
1744502400000000000,-0.0048041971,0.0096057994,0.0062652191,0.0047373944,-0.0073019700
1744588800000000000,-0.0025781818,-0.0001835301,-0.0325848157,-0.0179101455,-0.0111506819
1744848000000000000,0.0019996786,0.0193127678,-0.0039290496,-0.0018939926,0.0304509959
1744934400000000000,0.0056635001,0.0095603920,0.0044201448,0.0098170607,-0.0003126572
1745020800000000000,0.0148869769,0.0036473298,0.0145781529,0.0197893588,0.0084981174
1745107200000000000,0.0120886791,0.0100861786,-0.0140116339,-0.0365196290,-0.0072755329
1745193600000000000,0.0034122296,-0.0183525024,-0.0013120132,-0.0146830112,0.0060535143
1745452800000000000,-0.0282968019,-0.0241315196,-0.0061709749,-0.0203827360,-0.0035716592
1745539200000000000,0.0137767169,0.0007954938,0.0081039395,0.0055459939,0.0026486841
1745625600000000000,-0.0219173002,-0.0158080820,-0.0069877064,-0.0143636192,0.0064803149
1745712000000000000,-0.0090954074,-0.0143611570,-0.0019015959,-0.0006578193,-0.0050003029
1745798400000000000,-0.0006946183,0.0109259956,-0.0165259793,0.0017358873,-0.0183218066
1746057600000000000,-0.0094318850,-0.0110062280,-0.0176707952,-0.0037241979,-0.0076825605
1746144000000000000,0.0086053474,0.0032870395,-0.0103051842,-0.0042326370,0.0171655635
1746230400000000000,0.0007600205,0.0016699856,-0.0065962498,-0.0072819415,0.0182431264
1746316800000000000,-0.0049715313,-0.0116520675,-0.0001550119,0.0142171148,-0.0165436753
1746403200000000000,0.0171990911,0.0021701915,-0.0082704682,0.0070466263,-0.0099553147
1746662400000000000,-0.0074307687,-0.0111146427,0.0051972880,-0.0057704087,0.0076901106
1746748800000000000,-0.0152093425,-0.0167693306,-0.0097385053,-0.0175821714,-0.0216681747
1746835200000000000,-0.0187568537,-0.0064040310,0.0083815569,-0.0080589963,-0.0101725188
1746921600000000000,-0.0051764044,-0.0225944469,-0.0023026324,-0.0152407150,0.0024137283
1747008000000000000,-0.0142266574,-0.0051332006,-0.0049732431,-0.0229619541,0.0029852879
1747267200000000000,-0.0038234494,-0.0097910216,0.0032330792,-0.0061184444,-0.0050652990
1747353600000000000,0.0259560025,-0.0089831259,0.0025162732,-0.0036977181,0.0014564339
1747440000000000000,0.0003931666,-0.0255766365,0.0178968933,-0.0069322590,-0.0137062040
1747526400000000000,0.0032973242,0.0206542442,0.0214736586,0.0338805146,0.0166469782
1747612800000000000,0.0128614314,0.0227736443,0.0134252885,0.0096438919,0.0104185813
1747872000000000000,0.0181103427,0.0104906067,0.0125527528,0.0245181287,0.0018281773
1747958400000000000,0.0132469002,0.0100954567,0.0163648515,0.0063926556,-0.0007752880
1748044800000000000,-0.0146123233,-0.0080029464,-0.0022256414,-0.0067698011,0.0013164496
1748131200000000000,0.0196047931,0.0198205360,0.0149417170,0.0008031757,0.0011391965
1748217600000000000,0.0014063343,0.0001751528,0.0221825910,0.0100786527,0.0114657404
1748476800000000000,-0.0146984520,0.0079811179,0.0079447506,-0.0006872308,-0.0064452849
1748563200000000000,0.0065301705,0.0001738196,0.0189409537,0.0178948311,0.0046990916
1748649600000000000,0.0190568422,0.0097683277,0.0162143338,0.0124857298,0.0137892682
1748736000000000000,-0.0052371779,0.0051204829,-0.0016488737,-0.0105714783,0.0055471639
1748822400000000000,-0.0172355597,-0.0128120286,-0.0041953114,-0.0113124041,-0.0217575412
1749081600000000000,0.0082167062,0.0031607045,0.0019462883,0.0066897153,0.0208953037
1749168000000000000,0.0188145181,0.0055519148,0.0109057125,0.0260293751,0.0047614232
1749254400000000000,-0.0195496517,-0.0099488146,-0.0177994666,-0.0239735727,-0.0153301871
1749340800000000000,0.0265927737,0.0002923278,0.0000078956,0.0045292170,0.0230485520
1749427200000000000,-0.0010875951,-0.0112676836,-0.0127419804,-0.0032522893,0.0013724378
1749686400000000000,0.0015226158,0.0026609512,-0.0081700794,0.0026014687,-0.0058990578
1749772800000000000,-0.0163988586,-0.0061114873,-0.0113038132,0.0002689817,-0.0168472502
1749859200000000000,-0.0043536109,-0.0065137555,-0.0081187038,-0.0059067005,-0.0228553898
1749945600000000000,0.0026716805,-0.0088286114,0.0125545619,-0.0065665100,-0.0106961517
1750032000000000000,-0.0066751957,0.0044219199,-0.0078205482,-0.0001922059,-0.0023706861
1750291200000000000,0.0007440725,-0.0045843911,0.0028471003,0.0013709178,0.0098086259
1750377600000000000,-0.0136389398,-0.0131829847,-0.0180778014,-0.0168700119,-0.0329180919
1750464000000000000,0.0091309261,-0.0114614708,-0.0137444299,-0.0062086617,-0.0004260706
1750550400000000000,0.0171229825,0.0188277168,0.0146563510,0.0066829808,0.0153372687
1750636800000000000,0.0181052640,0.0083849775,-0.0018110027,0.0098945324,-0.0097457595
1750896000000000000,0.0026406205,-0.0112835081,-0.0125222696,0.0106763070,-0.0127410210
1750982400000000000,-0.0113309102,-0.0031314376,-0.0002576322,0.0034691875,-0.0045512253
1751068800000000000,0.0073718741,-0.0114329157,0.0028377973,-0.0108024029,-0.0049535010
1751155200000000000,0.0028865365,-0.0105315831,0.0166211738,-0.0072151156,-0.0067407646
1751241600000000000,-0.0133331073,0.0219194060,-0.0028013408,-0.0023237471,-0.0085205039
1751500800000000000,0.0159491087,0.0031640966,0.0115193212,0.0061484477,0.0072353364
1751587200000000000,-0.0109900776,-0.0121847561,0.0145007278,-0.0006593408,0.0015140107
1751673600000000000,-0.0106136632,-0.0109069210,-0.0093514548,0.0078092471,-0.0059449178
1751760000000000000,0.0220725872,-0.0033345399,-0.0019345986,0.0184470668,-0.0075181948
1751846400000000000,-0.0048406563,-0.0036304293,0.0014845088,-0.0093487269,0.0106637808
1752105600000000000,0.0025445529,0.0116962907,0.0124976037,-0.0082331939,-0.0009238160
1752192000000000000,-0.0130181667,0.0134620477,0.0098949093,0.0018301939,0.0032396618
1752278400000000000,0.0099691922,0.0356826190,0.0086769026,0.0032222177,-0.0006025479
1752364800000000000,-0.0043594485,0.0001533261,0.0056020539,0.0106903156,-0.0158763072
1752451200000000000,0.0064109354,0.0049350779,0.0134254842,0.0077378804,0.0135608630
1752710400000000000,-0.0185641485,-0.0224778147,-0.0145573693,-0.0248913517,-0.0239585711
1752796800000000000,0.0025846769,-0.0006115998,-0.0055906345,-0.0055214866,-0.0039670026
1752883200000000000,0.0069728927,0.0036125176,0.0020386437,0.0043803772,0.0071947956
1752969600000000000,0.0114692837,0.0104303625,0.0071247761,0.0094829328,0.0083445198
1753056000000000000,0.0112799042,0.0102520542,0.0090405126,0.0129109193,0.0085813872
1753315200000000000,0.0040043626,0.0029154569,0.0016195642,-0.0015248869,0.0043994150
1753401600000000000,0.0118000435,0.0151352942,0.0138947784,0.0110643725,0.0152483645
1753488000000000000,0.0031662578,0.0054089026,0.0015489327,0.0003775292,0.0017928706
1753574400000000000,-0.0027006397,-0.0011330330,-0.0040713218,-0.0030429551,-0.0061618300
1753660800000000000,-0.0072085541,-0.0061735515,-0.0052686437,-0.0067842719,-0.0093330775
1753920000000000000,-0.0059249488,-0.0008511195,-0.0025832980,-0.0037686766,-0.0068885026
1754006400000000000,0.0004508767,-0.0006778943,-0.0013279473,-0.0003472637,-0.0056811360
1754092800000000000,-0.0145622379,-0.0080968217,-0.0111113673,-0.0148697275,-0.0187058423
1754179200000000000,-0.0135463227,-0.0088378710,-0.0149931316,-0.0135640520,-0.0129971967
1754265600000000000,0.0033793629,-0.0005540160,0.0000848624,0.0002619736,-0.0001171149
1754524800000000000,0.0075645675,0.0068267561,0.0094571415,0.0068223093,0.0126495999
1754611200000000000,0.0104421645,0.0070973123,0.0060969703,0.0084365353,0.0029021953
1754697600000000000,-0.0217819494,-0.0178269336,-0.0184219037,-0.0169919335,-0.0173657929
1754784000000000000,-0.0116296267,-0.0085831064,-0.0095263277,-0.0073152499,-0.0108962330
1754870400000000000,0.0041582927,0.0024120850,0.0053110116,0.0032177360,0.0030411588
1755129600000000000,0.0029316622,0.0030216053,0.0038775173,0.0052979615,0.0071413412
1755216000000000000,-0.0122699213,-0.0150091354,-0.0145071340,-0.0147472943,-0.0157848281
1755302400000000000,0.0207891303,0.0171175714,0.0203771576,0.0190083212,0.0198504550
1755388800000000000,0.0142817881,0.0101513750,0.0094064360,0.0113318219,0.0050931384
1755475200000000000,0.0225120400,0.0247711235,0.0243859248,0.0250371306,0.0235711707
1755734400000000000,0.0069255593,0.0117501981,0.0167099523,0.0146373321,0.0175845634
1755820800000000000,0.0181289274,0.0194026483,0.0214612533,0.0220736142,0.0159600227
1755907200000000000,0.0039197354,0.0037860005,0.0012343788,0.0060949883,0.0073895843
1755993600000000000,0.0047296088,0.0008644407,0.0034686414,0.0080437869,0.0043331417
1756080000000000000,0.0050993715,0.0050157595,0.0001434337,0.0098951016,0.0022588410
1756339200000000000,0.0046111598,0.0031517329,-0.0012264852,0.0074853560,0.0049807081
1756425600000000000,0.0052490114,-0.0021742105,0.0073674753,0.0021632669,0.0053889753
1756512000000000000,-0.0075234539,-0.0077209289,-0.0084242687,-0.0071282626,-0.0090130370
1756598400000000000,0.0154443041,0.0214599736,0.0238521663,0.0210336288,0.0178099773
1756684800000000000,0.0038725904,0.0049391396,0.0033504060,0.0070732437,0.0057771594
1756944000000000000,0.0184098693,0.0184749202,0.0199737540,0.0195065575,0.0171476866
1757030400000000000,0.0104309756,0.0147664597,0.0160038846,0.0140634486,0.0137536765
1757116800000000000,0.0043008615,-0.0028696476,0.0023996215,-0.0010473897,0.0008702667
1757203200000000000,0.0019214335,0.0018210676,0.0074812571,0.0030033181,0.0043167854
1757289600000000000,-0.0005592737,0.0035094006,0.0046120495,0.0035558518,0.0064523033
1757548800000000000,-0.0199049327,-0.0165557517,-0.0212200931,-0.0226702417,-0.0242345446
1757635200000000000,-0.0199974876,-0.0167476494,-0.0199740330,-0.0194939620,-0.0093555125
1757721600000000000,0.0109847105,0.0070143433,0.0095694696,0.0131343501,0.0109287498
1757808000000000000,-0.0029257728,0.0055785937,-0.0051592183,0.0006055051,-0.0044805011
1757894400000000000,0.0124335783,0.0089287408,0.0092016944,0.0072430545,0.0082629964
1758153600000000000,-0.0177502946,-0.0158759056,-0.0133133634,-0.0129180705,-0.0152082018
1758240000000000000,0.0024838300,0.0061706832,0.0077191392,0.0101549419,0.0088879633
1758326400000000000,0.0085487289,0.0125140976,0.0137352110,0.0164519162,0.0133906111
1758412800000000000,-0.0015123847,0.0021362772,-0.0043626963,-0.0012136345,-0.0064182333
1758499200000000000,-0.0145649937,-0.0088353770,-0.0180767971,-0.0117699475,-0.0125401448
1758758400000000000,0.0132512509,0.0170263488,0.0122563320,0.0125123581,0.0114469224
1758844800000000000,-0.0148630354,-0.0138315752,-0.0144503078,-0.0142814725,-0.0182095943
1758931200000000000,-0.0098720026,-0.0091661943,-0.0104072418,-0.0061907990,-0.0064612393
1759017600000000000,0.0065953613,0.0071882803,-0.0004652797,0.0085570566,-0.0025293974
1759104000000000000,-0.0228142415,-0.0275841272,-0.0230727213,-0.0268675921,-0.0237445353
1759363200000000000,0.0042217195,0.0021587280,0.0003633356,0.0038358748,0.0028805673
1759449600000000000,-0.0228834456,-0.0216869389,-0.0219123102,-0.0214722558,-0.0176882762
1759536000000000000,-0.0088899048,-0.0044059389,-0.0061192586,-0.0112119806,-0.0122053593
1759622400000000000,0.0162960509,0.0214532353,0.0130154600,0.0154792884,0.0191775773
1759708800000000000,-0.0015593784,-0.0040616415,-0.0000706229,-0.0029909556,-0.0019443027
1759968000000000000,-0.0087514381,-0.0108210804,-0.0099284181,-0.0121899148,-0.0080337491
1760054400000000000,0.0093876142,0.0097056918,0.0068347469,0.0062087060,0.0105955847
1760140800000000000,0.0146999037,0.0121070706,0.0155476285,0.0136509940,0.0141362497
1760227200000000000,-0.0119459144,-0.0064540800,-0.0088189929,-0.0089196956,-0.0087653115
1760313600000000000,0.0115227092,0.0057623162,0.0069214212,0.0064561408,0.0065460476
1760572800000000000,0.0012303041,-0.0047106493,-0.0073302228,0.0016665484,-0.0086160331
1760659200000000000,-0.0047642849,0.0005793611,-0.0073332215,-0.0079398348,-0.0053697487
1760745600000000000,0.0063329773,0.0088071796,0.0123167531,0.0085345677,0.0074716648
1760832000000000000,-0.0096644783,-0.0142006524,-0.0085334473,-0.0136299146,-0.0120455716
1760918400000000000,-0.0143394092,-0.0121699032,-0.0047621322,-0.0075291233,-0.0104075504
1761177600000000000,-0.0076393509,0.0125747627,-0.0207778579,0.0026197588,-0.0041807453
1761264000000000000,-0.0044057728,0.0107710087,-0.0075019797,0.0026332271,-0.0106855346
1761350400000000000,0.0122917781,0.0201929574,0.0183846316,0.0067282644,-0.0024043844
1761436800000000000,-0.0059194260,0.0148660628,-0.0171530493,-0.0040537285,-0.0137196484
1761523200000000000,-0.0131933127,-0.0020890748,-0.0205843815,-0.0155752362,0.0049513504
1761782400000000000,0.0245472217,-0.0026999366,0.0036521829,0.0053053918,0.0169481600
1761868800000000000,0.0154744317,-0.0090838402,0.0083907614,0.0083993567,0.0109134658
1761955200000000000,0.0212343389,0.0188194415,0.0006032310,0.0029134467,0.0082986780
1762041600000000000,0.0182617236,0.0297274761,0.0251485696,-0.0110935480,0.0126233139
1762128000000000000,0.0061895872,0.0066209583,0.0131449053,-0.0073345062,0.0038874276
1762387200000000000,0.0135441422,0.0086075637,0.0142129707,0.0013092595,0.0062598650
1762473600000000000,-0.0168029813,-0.0332874624,-0.0310960208,-0.0086632518,0.0007924562
1762560000000000000,0.0081740647,-0.0034352510,0.0075721527,-0.0120770201,-0.0087915110
1762646400000000000,-0.0168772905,-0.0129025056,-0.0151615483,-0.0177256208,-0.0098213737
1762732800000000000,-0.0041432972,0.0190694920,0.0034874196,0.0120974781,0.0007309513
1762992000000000000,-0.0058373934,-0.0111015066,-0.0125280120,-0.0035686861,-0.0077826511
1763078400000000000,-0.0158986412,-0.0250391076,-0.0162662411,-0.0194033901,-0.0250391641
1763164800000000000,-0.0027070933,0.0143494720,-0.0015386198,0.0149774894,0.0219136438
1763251200000000000,-0.0089173930,-0.0087254441,-0.0155933641,0.0020044089,0.0027354784
1763337600000000000,-0.0192197517,-0.0083490594,-0.0121019426,-0.0018666500,-0.0098907022
1763596800000000000,-0.0210665092,-0.0150966046,-0.0089388680,-0.0147252499,-0.0092239911
1763683200000000000,0.0007506384,-0.0142247392,-0.0153418089,0.0005912169,0.0061915892
1763769600000000000,-0.0077636615,-0.0031142685,-0.0021837785,-0.0116924680,-0.0110124187
1763856000000000000,-0.0046466078,-0.0142723782,0.0027243125,-0.0004618794,0.0006934501
1763942400000000000,0.0080091652,0.0044467793,0.0167294748,0.0039950915,0.0154825059
1764201600000000000,0.0109981896,0.0103529363,0.0066998611,0.0154413022,0.0034981768
1764288000000000000,-0.0038181197,-0.0107597474,0.0026115629,-0.0098556532,-0.0126812639
1764374400000000000,0.0181837075,-0.0051375143,-0.0012933375,-0.0156022613,0.0045696670
1764460800000000000,-0.0042407511,-0.0051778800,-0.0086095613,-0.0179936644,-0.0046294511
1764547200000000000,-0.0094608018,-0.0115679534,-0.0020311498,0.0041598505,-0.0151788638
1764806400000000000,0.0171311979,0.0323524590,0.0192276725,0.0225946745,0.0208755766
1764892800000000000,0.0096785633,-0.0146818905,0.0009888842,0.0033488649,0.0010883346
1764979200000000000,-0.0141039065,-0.0021840087,-0.0176624817,0.0004239872,-0.0184045973
1765065600000000000,0.0045996876,0.0317851315,-0.0034558474,0.0116176683,0.0208467345
1765152000000000000,-0.0158166512,-0.0319782422,-0.0273077126,-0.0168290938,-0.0260449190
1765411200000000000,-0.0082477865,-0.0039597372,-0.0063153758,0.0008500386,0.0008433754
1765497600000000000,-0.0012482655,-0.0054905123,-0.0116972743,0.0025072509,-0.0005840878
1765584000000000000,0.0125079242,-0.0052646004,-0.0015942315,-0.0021124471,0.0050203664
1765670400000000000,0.0220080226,0.0369793661,0.0040118459,0.0153443219,0.0198478800
1765756800000000000,-0.0010342557,0.0032095865,-0.0030090617,-0.0041448749,-0.0137412547
1766016000000000000,-0.0087283337,0.0110929841,0.0099966390,0.0153393480,0.0250966041
1766102400000000000,0.0022361553,-0.0016643652,0.0087270782,-0.0187094115,0.0000721853
1766188800000000000,0.0289526380,0.0114385676,0.0193916282,0.0011338710,0.0116229683
1766275200000000000,0.0014946118,-0.0068565279,-0.0167090892,-0.0203416885,-0.0142634485
1766361600000000000,-0.0226951360,-0.0002292071,-0.0080225324,-0.0161060582,-0.0091687105
1766620800000000000,-0.0034502552,-0.0122234664,-0.0134672686,-0.0091334015,-0.0283385045
1766707200000000000,-0.0058731830,0.0085856753,0.0060547797,0.0203561538,-0.0024124999
1766793600000000000,-0.0072419597,-0.0038539101,0.0154718223,-0.0046201754,0.0182854745
1766880000000000000,-0.0034384983,-0.0075927255,-0.0208996825,-0.0040493296,-0.0188542886
1766966400000000000,-0.0069234459,-0.0190697572,-0.0126094824,-0.0129206518,0.0008934864
1767225600000000000,-0.0243034725,-0.0035225171,-0.0100904369,0.0043167434,-0.0110237486
1767312000000000000,0.0119011745,0.0140462277,0.0083038418,-0.0131107935,-0.0079381545
1767398400000000000,0.0139395578,0.0042665079,0.0227629624,0.0128047722,0.0081983262
1767484800000000000,0.0045336308,-0.0089281465,0.0036531273,0.0016830108,0.0038194189
1767571200000000000,0.0005632347,-0.0165322425,-0.0231502754,-0.0223233801,-0.0127132517
1767830400000000000,-0.0087080785,0.0106290363,0.0067375280,-0.0109787037,-0.0021413483
1767916800000000000,0.0108977355,0.0008696810,-0.0017239220,0.0056989831,-0.0018385168
1768003200000000000,-0.0162081415,-0.0115392127,-0.0084200597,-0.0072594514,0.0028309014
1768089600000000000,-0.0183194494,-0.0052355662,-0.0149035681,-0.0101151761,-0.0101027312
1768176000000000000,-0.0005966991,0.0033968839,-0.0093212377,0.0203880621,0.0164496064
1768435200000000000,-0.0076703549,0.0059190715,-0.0176892341,-0.0092168764,0.0007136517
1768521600000000000,0.0012425704,0.0036167244,-0.0053272964,-0.0067826234,0.0137533985
1768608000000000000,-0.0209300751,-0.0054604214,-0.0256739894,-0.0188050689,-0.0139651519
1768694400000000000,0.0151842846,0.0194582969,0.0113849343,0.0114592593,0.0265760746
1768780800000000000,-0.0185359558,-0.0018094035,-0.0164240740,-0.0048950670,0.0136080212
1769040000000000000,0.0055641985,-0.0038684446,0.0029170420,-0.0029456984,0.0019526218
1769126400000000000,-0.0039695982,0.0047727939,-0.0090598370,0.0173159228,-0.0211436700
1769212800000000000,-0.0083474322,0.0069834173,-0.0066272473,0.0003490798,-0.0077132751
1769299200000000000,-0.0114999682,-0.0137764052,-0.0101377882,-0.0077118929,-0.0235966282
1769385600000000000,0.0011094240,-0.0032757329,-0.0182637457,-0.0030196998,-0.0204866953
1769644800000000000,-0.0099096464,-0.0220665045,0.0071699470,0.0004133128,0.0059994680
1769731200000000000,-0.0149509834,0.0060124993,0.0027035188,-0.0051060002,0.0148005798
1769817600000000000,-0.0246054463,-0.0097644792,-0.0044691718,0.0032664230,0.0118178886
1769904000000000000,0.0091731163,0.0007309444,-0.0146691831,0.0105358775,-0.0110185606
1769990400000000000,-0.0153924159,0.0003305878,0.0008332922,-0.0177456789,-0.0085444622
1770249600000000000,-0.0063289651,0.0092234573,0.0036231893,0.0058210279,0.0076441950
1770336000000000000,-0.0209756951,0.0073617926,-0.0123951351,-0.0082540556,-0.0148271939
1770422400000000000,0.0079030289,0.0163537108,0.0208980576,0.0035887052,0.0159331651
1770508800000000000,0.0047312695,0.0134973733,0.0095057959,0.0119618815,0.0186704492
1770595200000000000,-0.0071435766,0.0022606864,0.0076492811,0.0308850527,0.0186906497
1770854400000000000,0.0234562427,0.0031182310,0.0150067204,-0.0097755129,0.0144254119
1770940800000000000,0.0088626655,-0.0037518041,0.0059858323,0.0038416023,0.0131787264
1771027200000000000,-0.0078767581,0.0021500246,-0.0070729745,-0.0009575899,0.0121479286
1771113600000000000,-0.0043334278,-0.0040362210,-0.0030284799,-0.0077190449,0.0012250433
1771200000000000000,-0.0109397727,-0.0323034103,0.0048060095,-0.0011281157,-0.0114109523
1771459200000000000,0.0088273705,0.0267692001,0.0048445563,0.0208917208,0.0236429061
1771545600000000000,0.0005715702,-0.0003907413,-0.0132954144,0.0072482449,-0.0093641587
1771632000000000000,-0.0066765266,-0.0053731423,0.0055588120,0.0051094523,0.0075061924
1771718400000000000,0.0034073613,0.0069716926,0.0077302313,0.0017424147,0.0243847532
1771804800000000000,0.0056102627,-0.0204454612,-0.0037078080,0.0069712346,0.0028867280
1772064000000000000,0.0093916407,-0.0086529671,-0.0117090430,-0.0152303474,-0.0046749948
1772150400000000000,0.0030520630,-0.0053570383,-0.0003042585,-0.0044820069,-0.0045388220
