# TYPE: validation-run
# R004: expected per-bar indicator values/states, computed causally from the tape
# by the chapter's reference implementation (test_R004.causal_path), tolerance 1e-9 [default]
bar,event_ts,exp_value,exp_state,exp_half_life_d,exp_computed_at,exp_module_state
98,1796601600000000000,nan,warming,nan,1796601600000000000,DEGRADED
99,1796688000000000000,nan,warming,nan,1796688000000000000,DEGRADED
100,1796774400000000000,nan,warming,nan,1796774400000000000,DEGRADED
101,1796860800000000000,nan,warming,nan,1796860800000000000,DEGRADED
102,1796947200000000000,nan,warming,nan,1796947200000000000,DEGRADED
103,1797033600000000000,nan,warming,nan,1797033600000000000,DEGRADED
104,1797120000000000000,nan,warming,nan,1797120000000000000,DEGRADED
105,1797206400000000000,nan,warming,nan,1797206400000000000,DEGRADED
106,1797292800000000000,nan,warming,nan,1797292800000000000,DEGRADED
107,1797379200000000000,nan,warming,nan,1797379200000000000,DEGRADED
108,1797465600000000000,nan,warming,nan,1797465600000000000,DEGRADED
109,1797552000000000000,nan,warming,nan,1797552000000000000,DEGRADED
110,1797638400000000000,nan,warming,nan,1797638400000000000,DEGRADED
111,1797724800000000000,nan,warming,nan,1797724800000000000,DEGRADED
112,1797811200000000000,nan,warming,nan,1797811200000000000,DEGRADED
113,1797897600000000000,nan,warming,nan,1797897600000000000,DEGRADED
114,1797984000000000000,nan,warming,nan,1797984000000000000,DEGRADED
115,1798070400000000000,nan,warming,nan,1798070400000000000,DEGRADED
116,1798156800000000000,nan,warming,nan,1798156800000000000,DEGRADED
117,1798243200000000000,nan,warming,nan,1798243200000000000,DEGRADED
118,1798329600000000000,nan,warming,nan,1798329600000000000,DEGRADED
119,1798416000000000000,nan,warming,nan,1798416000000000000,DEGRADED
120,1798502400000000000,nan,warming,nan,1798502400000000000,DEGRADED
121,1798588800000000000,nan,warming,nan,1798588800000000000,DEGRADED
122,1798675200000000000,nan,warming,nan,1798675200000000000,DEGRADED
123,1798761600000000000,nan,warming,nan,1798761600000000000,DEGRADED
124,1798848000000000000,nan,warming,nan,1798848000000000000,DEGRADED
125,1798934400000000000,nan,warming,nan,1798934400000000000,DEGRADED
126,1799020800000000000,nan,warming,nan,1799020800000000000,DEGRADED
127,1799107200000000000,nan,warming,nan,1799107200000000000,DEGRADED
128,1799193600000000000,nan,warming,nan,1799193600000000000,DEGRADED
129,1799280000000000000,nan,warming,nan,1799280000000000000,DEGRADED
130,1799366400000000000,nan,warming,nan,1799366400000000000,DEGRADED
131,1799452800000000000,nan,warming,nan,1799452800000000000,DEGRADED
132,1799539200000000000,nan,warming,nan,1799539200000000000,DEGRADED
133,1799625600000000000,nan,warming,nan,1799625600000000000,DEGRADED
134,1799712000000000000,nan,warming,nan,1799712000000000000,DEGRADED
135,1799798400000000000,nan,warming,nan,1799798400000000000,DEGRADED
136,1799884800000000000,nan,warming,nan,1799884800000000000,DEGRADED
137,1799971200000000000,nan,warming,nan,1799971200000000000,DEGRADED
138,1800057600000000000,nan,warming,nan,1800057600000000000,DEGRADED
139,1800144000000000000,nan,warming,nan,1800144000000000000,DEGRADED
140,1800230400000000000,nan,warming,nan,1800230400000000000,DEGRADED
141,1800316800000000000,nan,warming,nan,1800316800000000000,DEGRADED
142,1800403200000000000,nan,warming,nan,1800403200000000000,DEGRADED
143,1800489600000000000,nan,warming,nan,1800489600000000000,DEGRADED
144,1800576000000000000,nan,warming,nan,1800576000000000000,DEGRADED
145,1800662400000000000,nan,warming,nan,1800662400000000000,DEGRADED
146,1800748800000000000,nan,warming,nan,1800748800000000000,DEGRADED
147,1800835200000000000,nan,warming,nan,1800835200000000000,DEGRADED
148,1800921600000000000,nan,warming,nan,1800921600000000000,DEGRADED
149,1801008000000000000,nan,warming,nan,1801008000000000000,DEGRADED
150,1801094400000000000,nan,warming,nan,1801094400000000000,DEGRADED
151,1801180800000000000,nan,warming,nan,1801180800000000000,DEGRADED
152,1801267200000000000,nan,warming,nan,1801267200000000000,DEGRADED
153,1801353600000000000,nan,warming,nan,1801353600000000000,DEGRADED
154,1801440000000000000,nan,warming,nan,1801440000000000000,DEGRADED
155,1801526400000000000,nan,warming,nan,1801526400000000000,DEGRADED
156,1801612800000000000,nan,warming,nan,1801612800000000000,DEGRADED
157,1801699200000000000,nan,warming,nan,1801699200000000000,DEGRADED
158,1801785600000000000,nan,warming,nan,1801785600000000000,DEGRADED
159,1801872000000000000,nan,warming,nan,1801872000000000000,DEGRADED
160,1801958400000000000,nan,warming,nan,1801958400000000000,DEGRADED
161,1802044800000000000,nan,warming,nan,1802044800000000000,DEGRADED
162,1802131200000000000,nan,warming,nan,1802131200000000000,DEGRADED
163,1802217600000000000,nan,warming,nan,1802217600000000000,DEGRADED
164,1802304000000000000,nan,warming,nan,1802304000000000000,DEGRADED
165,1802390400000000000,nan,warming,nan,1802390400000000000,DEGRADED
166,1802476800000000000,nan,warming,nan,1802476800000000000,DEGRADED
167,1802563200000000000,nan,warming,nan,1802563200000000000,DEGRADED
168,1802649600000000000,nan,warming,nan,1802649600000000000,DEGRADED
169,1802736000000000000,nan,warming,nan,1802736000000000000,DEGRADED
170,1802822400000000000,nan,warming,nan,1802822400000000000,DEGRADED
171,1802908800000000000,nan,warming,nan,1802908800000000000,DEGRADED
172,1802995200000000000,nan,warming,nan,1802995200000000000,DEGRADED
173,1803081600000000000,nan,warming,nan,1803081600000000000,DEGRADED
174,1803168000000000000,nan,warming,nan,1803168000000000000,DEGRADED
175,1803254400000000000,nan,warming,nan,1803254400000000000,DEGRADED
176,1803340800000000000,nan,warming,nan,1803340800000000000,DEGRADED
177,1803427200000000000,nan,warming,nan,1803427200000000000,DEGRADED
178,1803513600000000000,nan,warming,nan,1803513600000000000,DEGRADED
179,1803600000000000000,nan,warming,nan,1803600000000000000,DEGRADED
180,1803686400000000000,nan,warming,nan,1803686400000000000,DEGRADED
181,1803772800000000000,nan,warming,nan,1803772800000000000,DEGRADED
182,1803859200000000000,nan,warming,nan,1803859200000000000,DEGRADED
183,1803945600000000000,nan,warming,nan,1803945600000000000,DEGRADED
184,1804032000000000000,nan,warming,nan,1804032000000000000,DEGRADED
185,1804118400000000000,nan,warming,nan,1804118400000000000,DEGRADED
186,1804204800000000000,nan,warming,nan,1804204800000000000,DEGRADED
187,1804291200000000000,nan,warming,nan,1804291200000000000,DEGRADED
188,1804377600000000000,nan,warming,nan,1804377600000000000,DEGRADED
189,1804464000000000000,nan,warming,nan,1804464000000000000,DEGRADED
190,1804550400000000000,nan,warming,nan,1804550400000000000,DEGRADED
191,1804636800000000000,nan,warming,nan,1804636800000000000,DEGRADED
192,1804723200000000000,nan,warming,nan,1804723200000000000,DEGRADED
193,1804809600000000000,nan,warming,nan,1804809600000000000,DEGRADED
194,1804896000000000000,nan,warming,nan,1804896000000000000,DEGRADED
195,1804982400000000000,nan,warming,nan,1804982400000000000,DEGRADED
196,1805068800000000000,nan,warming,nan,1805068800000000000,DEGRADED
197,1805155200000000000,nan,warming,nan,1805155200000000000,DEGRADED
198,1805241600000000000,nan,warming,nan,1805241600000000000,DEGRADED
199,1805328000000000000,nan,warming,nan,1805328000000000000,DEGRADED
200,1805414400000000000,nan,warming,nan,1805414400000000000,DEGRADED
201,1805500800000000000,nan,warming,nan,1805500800000000000,DEGRADED
202,1805587200000000000,nan,warming,nan,1805587200000000000,DEGRADED
203,1805673600000000000,nan,warming,nan,1805673600000000000,DEGRADED
204,1805760000000000000,nan,warming,nan,1805760000000000000,DEGRADED
205,1805846400000000000,nan,warming,nan,1805846400000000000,DEGRADED
206,1805932800000000000,nan,warming,nan,1805932800000000000,DEGRADED
207,1806019200000000000,nan,warming,nan,1806019200000000000,DEGRADED
208,1806105600000000000,nan,warming,nan,1806105600000000000,DEGRADED
209,1806192000000000000,nan,warming,nan,1806192000000000000,DEGRADED
210,1806278400000000000,nan,warming,nan,1806278400000000000,DEGRADED
211,1806364800000000000,nan,warming,nan,1806364800000000000,DEGRADED
212,1806451200000000000,nan,warming,nan,1806451200000000000,DEGRADED
213,1806537600000000000,nan,warming,nan,1806537600000000000,DEGRADED
214,1806624000000000000,nan,warming,nan,1806624000000000000,DEGRADED
215,1806710400000000000,nan,warming,nan,1806710400000000000,DEGRADED
216,1806796800000000000,nan,warming,nan,1806796800000000000,DEGRADED
217,1806883200000000000,nan,warming,nan,1806883200000000000,DEGRADED
218,1806969600000000000,nan,warming,nan,1806969600000000000,DEGRADED
219,1807056000000000000,nan,warming,nan,1807056000000000000,DEGRADED
220,1807142400000000000,nan,warming,nan,1807142400000000000,DEGRADED
221,1807228800000000000,nan,warming,nan,1807228800000000000,DEGRADED
222,1807315200000000000,nan,warming,nan,1807315200000000000,DEGRADED
223,1807401600000000000,nan,warming,nan,1807401600000000000,DEGRADED
224,1807488000000000000,nan,warming,nan,1807488000000000000,DEGRADED
225,1807574400000000000,nan,warming,nan,1807574400000000000,DEGRADED
226,1807660800000000000,nan,warming,nan,1807660800000000000,DEGRADED
227,1807747200000000000,nan,warming,nan,1807747200000000000,DEGRADED
228,1807833600000000000,nan,warming,nan,1807833600000000000,DEGRADED
229,1807920000000000000,nan,warming,nan,1807920000000000000,DEGRADED
230,1808006400000000000,nan,warming,nan,1808006400000000000,DEGRADED
231,1808092800000000000,nan,warming,nan,1808092800000000000,DEGRADED
232,1808179200000000000,nan,warming,nan,1808179200000000000,DEGRADED
233,1808265600000000000,nan,warming,nan,1808265600000000000,DEGRADED
234,1808352000000000000,nan,warming,nan,1808352000000000000,DEGRADED
235,1808438400000000000,nan,warming,nan,1808438400000000000,DEGRADED
236,1808524800000000000,nan,warming,nan,1808524800000000000,DEGRADED
237,1808611200000000000,nan,warming,nan,1808611200000000000,DEGRADED
238,1808697600000000000,nan,warming,nan,1808697600000000000,DEGRADED
239,1808784000000000000,nan,warming,nan,1808784000000000000,DEGRADED
240,1808870400000000000,nan,warming,nan,1808870400000000000,DEGRADED
241,1808956800000000000,nan,warming,nan,1808956800000000000,DEGRADED
242,1809043200000000000,nan,warming,nan,1809043200000000000,DEGRADED
243,1809129600000000000,nan,warming,nan,1809129600000000000,DEGRADED
244,1809216000000000000,nan,warming,nan,1809216000000000000,DEGRADED
245,1809302400000000000,nan,warming,nan,1809302400000000000,DEGRADED
246,1809388800000000000,nan,warming,nan,1809388800000000000,DEGRADED
247,1809475200000000000,nan,warming,nan,1809475200000000000,DEGRADED
248,1809561600000000000,nan,warming,nan,1809561600000000000,DEGRADED
249,1809648000000000000,nan,warming,nan,1809648000000000000,DEGRADED
250,1809734400000000000,nan,warming,nan,1809734400000000000,DEGRADED
251,1809820800000000000,nan,warming,nan,1809820800000000000,DEGRADED
252,1809907200000000000,0.9299999999999999,normal,9.551337509447336,1809907200000000000,OK
253,1809993600000000000,0.9299999999999999,normal,9.551337509447336,1809993600000000000,OK
254,1810080000000000000,0.9299999999999999,normal,9.551337509447336,1810080000000000000,OK
255,1810166400000000000,0.9299999999999999,normal,9.551337509447336,1810166400000000000,OK
256,1810252800000000000,0.9299999999999999,normal,9.551337509447336,1810252800000000000,OK
257,1810339200000000000,0.9299999999999999,normal,9.551337509447336,1810339200000000000,OK
258,1810425600000000000,0.9299999999999999,normal,9.551337509447336,1810425600000000000,OK
259,1810512000000000000,0.9299999999999999,normal,9.551337509447336,1810512000000000000,OK
260,1810598400000000000,0.9299999999999999,normal,9.551337509447336,1810598400000000000,OK
261,1810684800000000000,0.9299999999999999,normal,9.551337509447336,1810684800000000000,OK
262,1810771200000000000,0.9299999999999999,normal,9.551337509447336,1810771200000000000,OK
263,1810857600000000000,0.9299999999999999,normal,9.551337509447336,1810857600000000000,OK
264,1810944000000000000,0.9299999999999999,normal,9.551337509447336,1810944000000000000,OK
265,1811030400000000000,0.9299999999999999,normal,9.551337509447336,1811030400000000000,OK
266,1811116800000000000,0.9299999999999999,normal,9.551337509447336,1811116800000000000,OK
267,1811203200000000000,0.9299999999999999,normal,9.551337509447336,1811203200000000000,OK
268,1811289600000000000,0.9299999999999999,normal,9.551337509447336,1811289600000000000,OK
269,1811376000000000000,0.9299999999999999,normal,9.551337509447336,1811376000000000000,OK
270,1811462400000000000,0.9299999999999999,normal,9.551337509447336,1811462400000000000,OK
271,1811548800000000000,0.9299999999999999,normal,9.551337509447336,1811548800000000000,OK
272,1811635200000000000,0.9299999999999999,normal,9.551337509447336,1811635200000000000,OK
273,1811721600000000000,0.9299999999999999,normal,9.551337509447336,1811721600000000000,OK
274,1811808000000000000,0.9299999999999999,normal,9.551337509447336,1811808000000000000,OK
275,1811894400000000000,0.9299999999999999,normal,9.551337509447336,1811894400000000000,OK
276,1811980800000000000,0.9299999999999999,normal,9.551337509447336,1811980800000000000,OK
277,1812067200000000000,0.9299999999999999,normal,9.551337509447336,1812067200000000000,OK
278,1812153600000000000,0.9299999999999999,normal,9.551337509447336,1812153600000000000,OK
279,1812240000000000000,0.9299999999999999,normal,9.551337509447336,1812240000000000000,OK
280,1812326400000000000,0.9299999999999999,normal,9.551337509447336,1812326400000000000,OK
