# TYPE: validation-run
# Synthetic 70-day VIX/VX1/VX2 tape (index points), seed 68, PCG64.
# Days 0-59 calm contango; 60-64 stress episode; 65-69 recovery.
# Slope = VX2-VX1; inversion rule slope < -1.0 [example];
# z_slope = (slope - mean(trailing 60)) / pstdev(trailing 60) [example],
# unavailable (warm-up) for days 0-58. event_ts/asof_ts int64 ns UTC.
# All numbers synthetic. asof_ts - event_ts = 120000 ns [example].
day,event_ts,asof_ts,vix,vx1,vx2
23,1790947800000000000,1790947800000120000,16.6749626014,17.5698386603,18.9235946996
24,1791034200000000000,1791034200000120000,17.9631216764,18.6358962656,20.1143181305
25,1791120600000000000,1791120600000120000,18.0888230539,18.5984619043,19.8590795819
26,1791207000000000000,1791207000000120000,17.3835954259,18.3687618482,19.6599644170
27,1791293400000000000,1791293400000120000,17.9640766269,18.8529866220,20.0923600389
28,1791379800000000000,1791379800000120000,18.3942341110,19.3365793689,20.5346897268
29,1791466200000000000,1791466200000120000,17.8444429023,18.8045317745,20.0182462406
30,1791552600000000000,1791552600000120000,15.4755367337,16.2982540611,17.4411433940
31,1791639000000000000,1791639000000120000,15.2982444205,16.2719243174,17.3175884496
32,1791725400000000000,1791725400000120000,17.9212267475,18.7913636765,20.2912472504
33,1791811800000000000,1791811800000120000,16.9800459274,17.8454787282,18.9911336228
34,1791898200000000000,1791898200000120000,18.1815673418,19.3508810841,20.9490459963
35,1791984600000000000,1791984600000120000,15.5692066857,16.3580331974,17.9455610305
36,1792071000000000000,1792071000000120000,17.3370860875,18.1782938453,19.7729394919
37,1792157400000000000,1792157400000120000,14.5877347305,15.4380399701,16.8574092736
38,1792243800000000000,1792243800000120000,18.7506739156,19.7445546394,20.9795277473
39,1792330200000000000,1792330200000120000,17.1885797225,18.3605224094,19.8634125071
40,1792416600000000000,1792416600000120000,15.7254163161,16.3074931730,17.5727872771
41,1792503000000000000,1792503000000120000,16.4214376293,17.3579176216,18.9126978546
42,1792589400000000000,1792589400000120000,19.4683044895,20.4117172595,21.9829428321
43,1792675800000000000,1792675800000120000,15.3534720799,16.0432469690,17.3850757036
44,1792762200000000000,1792762200000120000,17.6512860125,18.5366390874,19.6651740580
45,1792848600000000000,1792848600000120000,18.3465805933,18.9885748669,20.2083284423
46,1792935000000000000,1792935000000120000,18.8368907661,19.7324548829,20.8433773686
47,1793021400000000000,1793021400000120000,17.0045631978,17.9111285284,19.3308318276
48,1793107800000000000,1793107800000120000,16.8646657647,17.5211055358,18.7702299820
49,1793194200000000000,1793194200000120000,16.5617164134,17.5320099893,18.9301443263
50,1793280600000000000,1793280600000120000,17.1600475064,18.1490490860,19.5380486681
51,1793367000000000000,1793367000000120000,15.7235677719,16.6164687458,17.9117864923
52,1793453400000000000,1793453400000120000,18.7610071578,19.3035220979,20.9174043810
53,1793539800000000000,1793539800000120000,17.6856113211,18.6091422785,19.7618989692
54,1793626200000000000,1793626200000120000,17.6524555966,18.5508212959,19.9001059022
55,1793712600000000000,1793712600000120000,14.6844667238,15.5011363313,16.8896167228
56,1793799000000000000,1793799000000120000,16.4358409242,17.1860906784,18.5897964175
57,1793885400000000000,1793885400000120000,15.4674103562,16.0782477460,17.3343442326
58,1793971800000000000,1793971800000120000,16.4476588263,17.2989093025,18.9578399426
59,1794058200000000000,1794058200000120000,16.8448505696,18.0288707992,19.4488874949
60,1794144600000000000,1794144600000120000,24.2205575793,25.2091541920,25.6091541920
61,1794231000000000000,1794231000000120000,29.8350089004,31.0464953762,30.2464953762
62,1794317400000000000,1794317400000120000,33.1012480292,33.7883233064,32.1883233064
63,1794403800000000000,1794403800000120000,29.0483798530,29.9573253632,28.8573253632
64,1794490200000000000,1794490200000120000,26.0405283647,27.3360707466,27.5360707466
65,1794576600000000000,1794576600000120000,20.0869173666,21.3748973766,22.8527773961
66,1794663000000000000,1794663000000120000,19.1773177866,20.0944161210,21.6698988767
67,1794749400000000000,1794749400000120000,18.3252855678,19.3336453740,20.7565655523
68,1794835800000000000,1794835800000120000,20.0441682017,21.1077824784,22.7351439637
69,1794922200000000000,1794922200000120000,17.3371645745,18.3769294158,19.8896249201
