# TYPE: validation-run
# R007: expected per-bar detector outputs, computed causally from the tape
# by the v1.1.0 reference implementation (test_R007._process).
bar,event_ts,exp_adx,exp_hurst,exp_hurst63,exp_raw_adx,exp_raw_hurst,exp_state,exp_module_state,exp_computed_at
23,1706130000000000000,nan,0.20010102636842614,nan,,,warming,DEGRADED,1706130000000000000
24,1706216400000000000,nan,-0.006695861160749529,nan,,,warming,DEGRADED,1706216400000000000
25,1706302800000000000,nan,0.19656391357966552,nan,,,warming,DEGRADED,1706302800000000000
26,1706389200000000000,nan,-0.006018961178034708,nan,,,warming,DEGRADED,1706389200000000000
27,1706475600000000000,nan,0.19334179948785046,nan,,,warming,DEGRADED,1706475600000000000
28,1706562000000000000,3.786047227191515,-0.005456994620201576,nan,chop,mr,unknown,OK,1706562000000000000
29,1706648400000000000,3.7037609081300435,-0.005456994620201576,nan,chop,mr,chop,OK,1706648400000000000
30,1706734800000000000,3.7863864651655375,-0.005456994620201576,nan,chop,mr,chop,OK,1706734800000000000
31,1706821200000000000,3.7148187398364696,-0.005456994620201576,nan,chop,mr,chop,OK,1706821200000000000
32,1706907600000000000,3.7850535031560613,-0.005456994620201576,nan,chop,mr,chop,OK,1706907600000000000
33,1706994000000000000,3.7227870958920093,-0.005456994620201576,nan,chop,mr,chop,OK,1706994000000000000
34,1707080400000000000,3.782506755445251,-0.005456994620201576,nan,chop,mr,chop,OK,1707080400000000000
35,1707166800000000000,3.728318280728278,-0.005456994620201576,nan,chop,mr,chop,OK,1707166800000000000
36,1707253200000000000,3.779109007835917,-0.005456994620201576,nan,chop,mr,chop,OK,1707253200000000000
37,1707339600000000000,3.7319406150817644,-0.005456994620201576,nan,chop,mr,chop,OK,1707339600000000000
38,1707426000000000000,3.775145337795325,-0.005456994620201576,nan,chop,mr,chop,OK,1707426000000000000
39,1707512400000000000,3.734080989166206,-0.005456994620201576,nan,chop,mr,chop,OK,1707512400000000000
40,1707598800000000000,3.7708378422935525,-0.005456994620201576,nan,chop,mr,chop,OK,1707598800000000000
41,1707685200000000000,3.7350833455703207,-0.005456994620201576,nan,chop,mr,chop,OK,1707685200000000000
42,1707771600000000000,3.7663577306198226,-0.005456994620201576,nan,chop,mr,chop,OK,1707771600000000000
43,1707858000000000000,3.7352238431626104,-0.005456994620201576,nan,chop,mr,chop,OK,1707858000000000000
44,1707944400000000000,3.7618352419715224,-0.005456994620201576,nan,chop,mr,chop,OK,1707944400000000000
45,1708030800000000000,3.7347233071515196,-0.005456994620201576,nan,chop,mr,chop,OK,1708030800000000000
46,1708117200000000000,3.7573677675443187,-0.005456994620201576,nan,chop,mr,chop,OK,1708117200000000000
47,1708203600000000000,3.7337574551058883,-0.005456994620201576,nan,chop,mr,chop,OK,1708203600000000000
48,1708290000000000000,3.753026490977849,-0.005456994620201576,nan,chop,mr,chop,OK,1708290000000000000
49,1708376400000000000,3.732465297028475,-0.005456994620201576,nan,chop,mr,chop,OK,1708376400000000000
50,1708462800000000000,3.748861806724933,-0.005456994620201576,nan,chop,mr,chop,OK,1708462800000000000
51,1708549200000000000,3.5411505099829976,0.21851549073228999,nan,chop,mr,chop,OK,1708549200000000000
52,1708635600000000000,3.4709538997511484,0.1498500403151337,nan,chop,mr,chop,OK,1708635600000000000
53,1708722000000000000,3.617247977920455,0.20746730130258362,nan,chop,mr,chop,OK,1708722000000000000
54,1708808400000000000,3.9134975449875893,0.4359968622213699,nan,chop,mr,chop,OK,1708808400000000000
55,1708894800000000000,4.327432333732933,0.4876260804791377,nan,chop,random,unknown,UNKNOWN,1708894800000000000
56,1708981200000000000,4.883463099436952,0.5820456594866631,nan,chop,trending,unknown,UNKNOWN,1708981200000000000
57,1709067600000000000,5.632107772168738,0.6138961654254569,nan,chop,trending,unknown,UNKNOWN,1709067600000000000
58,1709154000000000000,6.591685447374294,0.6546319316815669,nan,chop,trending,unknown,UNKNOWN,1709154000000000000
59,1709240400000000000,7.722252936912751,0.6750159927475995,nan,chop,trending,unknown,UNKNOWN,1709240400000000000
60,1709326800000000000,8.954493624455653,0.6927622091363165,nan,chop,trending,unknown,UNKNOWN,1709326800000000000
61,1709413200000000000,10.243219522658498,0.7081124042347827,nan,chop,trending,unknown,UNKNOWN,1709413200000000000
62,1709499600000000000,11.600697120519536,0.7178798759436157,nan,chop,trending,unknown,UNKNOWN,1709499600000000000
63,1709586000000000000,13.077991059909781,0.7273271891388357,0.7145863589692467,chop,trending,unknown,UNKNOWN,1709586000000000000
64,1709672400000000000,14.706817910154433,0.7324970650078741,0.7250045719463355,chop,trending,unknown,UNKNOWN,1709672400000000000
65,1709758800000000000,16.462092722583954,0.7373599814364253,0.7338665251231373,chop,trending,unknown,UNKNOWN,1709758800000000000
66,1709845200000000000,18.28024908045383,0.7413460734654979,0.7419039929712222,chop,trending,unknown,UNKNOWN,1709845200000000000
67,1709931600000000000,20.108937222416337,0.7451087964029504,0.7484412207050661,transitional,trending,unknown,UNKNOWN,1709931600000000000
68,1710018000000000000,21.94564487880893,0.7478535047549779,0.7551854766582704,transitional,trending,unknown,UNKNOWN,1710018000000000000
69,1710104400000000000,23.832683384814892,0.7497745157786981,0.7605902735169916,transitional,trending,unknown,UNKNOWN,1710104400000000000
70,1710190800000000000,25.808316128593493,0.7501883327679142,0.7653913943356547,trending,trending,chop,OK,1710190800000000000
71,1710277200000000000,27.8635505429591,0.7495660375855294,0.7695066741300837,trending,trending,trending,OK,1710277200000000000
72,1710363600000000000,29.94820839498006,0.7478137817102557,0.7732959811820223,trending,trending,trending,OK,1710363600000000000
73,1710450000000000000,32.0113396054678,0.7464794064202408,0.7768235766088344,trending,trending,trending,OK,1710450000000000000
74,1710536400000000000,34.03891976306469,0.7455834184992873,0.7802629190810341,trending,trending,trending,OK,1710536400000000000
75,1710622800000000000,36.059876584371445,0.7448377960689551,0.7832496258442796,trending,trending,trending,OK,1710622800000000000
76,1710709200000000000,38.11167204331252,0.745343782354688,0.7860752414009599,trending,trending,trending,OK,1710709200000000000
77,1710795600000000000,40.198729750050994,0.7443334541402901,0.7881421039417686,trending,trending,trending,OK,1710795600000000000
78,1710882000000000000,42.28758638021577,0.7442430735854496,0.7902120815466437,trending,trending,trending,OK,1710882000000000000
79,1710968400000000000,44.33570018894856,0.7434146144069617,0.7919502715302774,trending,trending,trending,OK,1710968400000000000
80,1711054800000000000,46.323658625613575,0.7426101882512975,0.7935591173996764,trending,trending,trending,OK,1711054800000000000
81,1711141200000000000,48.26732914129258,0.742569179921989,0.7950290341651607,trending,trending,trending,OK,1711141200000000000
82,1711227600000000000,50.198114060275195,0.7433290398044149,0.7963169257446316,trending,trending,trending,OK,1711227600000000000
83,1711314000000000000,52.12868236963157,0.7441917187856477,0.7971591780719183,trending,trending,trending,OK,1711314000000000000
84,1711400400000000000,54.04108690640715,0.7443636980141622,0.7979953887432396,trending,trending,trending,OK,1711400400000000000
85,1711486800000000000,55.90425718461443,0.7436868534102982,0.7986556128089696,trending,trending,trending,OK,1711486800000000000
86,1711573200000000000,57.69891088370259,0.7427836532052403,0.7994268144566262,trending,trending,trending,OK,1711573200000000000
87,1711659600000000000,59.43119524831766,0.7424845452182214,0.8001405820192776,trending,trending,trending,OK,1711659600000000000
88,1711746000000000000,61.124266349864506,0.7430641230980823,0.8009172901643633,trending,trending,trending,OK,1711746000000000000
89,1711832400000000000,62.793727818916445,0.7439897498571382,0.8013271755416773,trending,trending,trending,OK,1711832400000000000
90,1711918800000000000,64.43323479771195,0.7444104486906661,0.8017234010644869,trending,trending,trending,OK,1711918800000000000
91,1712005200000000000,66.02281557375045,0.7439392126573775,0.8017859631483975,trending,trending,trending,OK,1712005200000000000
92,1712091600000000000,67.54651980124598,0.743009418251757,0.8019567789010135,trending,trending,trending,OK,1712091600000000000
93,1712178000000000000,69.00473494876904,0.742475910607486,0.8018978411259401,trending,trending,trending,OK,1712178000000000000
94,1712264400000000000,70.41272343247532,0.7428291716410851,0.8018496860853145,trending,trending,trending,OK,1712264400000000000
95,1712350800000000000,71.78523133033146,0.7437443412657773,0.801698424824306,trending,trending,trending,OK,1712350800000000000
96,1712437200000000000,73.12303657669305,0.7443803324102387,0.8015189928527705,trending,trending,trending,OK,1712437200000000000
97,1712523600000000000,74.41499596225485,0.7441521186170775,0.8014094345187033,trending,trending,trending,OK,1712523600000000000
98,1712610000000000000,75.64950190559456,0.7432695046980273,0.8012167999297105,trending,trending,trending,OK,1712610000000000000
99,1712696400000000000,76.82434754369756,0.7425441936693256,0.8010590801239673,trending,trending,trending,OK,1712696400000000000
100,1712782800000000000,77.94859603241763,0.7426428734404986,0.8007835676148884,trending,trending,trending,OK,1712782800000000000
101,1712869200000000000,79.03420611174758,0.7434746976933005,0.8003495223239595,trending,trending,trending,OK,1712869200000000000
102,1712955600000000000,80.0853867034688,0.744275225448357,0.7998182162531523,trending,trending,trending,OK,1712955600000000000
103,1713042000000000000,81.0970996195364,0.7443082256588534,0.799296771925881,trending,trending,trending,OK,1713042000000000000
104,1713128400000000000,82.06176856353845,0.7435433265920486,0.7987607389117857,trending,trending,trending,OK,1713128400000000000
105,1713214800000000000,82.97654409241098,0.7426841501912378,0.7985248225202074,trending,trending,trending,OK,1713214800000000000
106,1713301200000000000,83.84625954912738,0.7425203572489355,0.7982119267237089,trending,trending,trending,OK,1713301200000000000
107,1713387600000000000,84.67963414288302,0.7432025128991778,0.7979726581589046,trending,trending,trending,OK,1713387600000000000
108,1713474000000000000,85.48184288876725,0.74410384135701,0.797368733136117,trending,trending,trending,OK,1713474000000000000
109,1713560400000000000,86.25156937151618,0.7443953339533894,0.7969718795486496,trending,trending,trending,OK,1713560400000000000
110,1713646800000000000,86.9843860930295,0.7438089694894353,0.7963597197487922,trending,trending,trending,OK,1713646800000000000
111,1713733200000000000,87.68513121770802,0.7425578804524816,0.7961719580310572,trending,trending,trending,OK,1713733200000000000
112,1713819600000000000,86.24016609749569,0.7433886762944715,0.7962425750848091,trending,trending,trending,OK,1713819600000000000
113,1713906000000000000,85.22000248263839,0.7442595705430609,0.7965238019075175,trending,trending,trending,OK,1713906000000000000
114,1713992400000000000,82.68006259443287,0.7466061819806603,0.7970004251526924,trending,trending,trending,OK,1713992400000000000
115,1714078800000000000,80.76212202529464,0.7480994424871993,0.7972228230191217,trending,trending,trending,OK,1714078800000000000
116,1714165200000000000,77.6836473068805,0.7497058557045836,0.7975315185469,trending,trending,trending,OK,1714165200000000000
117,1714251600000000000,75.32169680607477,0.7501328700418619,0.7977404518085515,trending,trending,trending,OK,1714251600000000000
118,1714338000000000000,72.02073283565802,0.7492107932825468,0.7982778937983517,trending,trending,trending,OK,1714338000000000000
119,1714424400000000000,69.4797931247064,0.7483123468584775,0.798836566929987,trending,trending,trending,OK,1714424400000000000
120,1714510800000000000,66.14270937318129,0.747088023979458,0.7994748025623921,trending,trending,trending,OK,1714510800000000000
121,1714597200000000000,63.58187045311211,0.746500742770681,0.7998170460807242,trending,trending,trending,OK,1714597200000000000
122,1714683600000000000,60.319673453082196,0.7453220319288458,0.8002580197259859,trending,trending,trending,OK,1714683600000000000
123,1714770000000000000,57.83478275723219,0.7441847468550274,0.8004576833232793,trending,trending,trending,OK,1714770000000000000
124,1714856400000000000,54.712484588805744,0.7402824828257305,0.8006955008487716,trending,trending,trending,OK,1714856400000000000
125,1714942800000000000,52.360051990714695,0.7362265952550061,0.8009791087625557,trending,trending,trending,OK,1714942800000000000
126,1715029200000000000,49.41369934747269,0.7286327424579087,0.8013818660935512,trending,trending,trending,OK,1715029200000000000
127,1715115600000000000,47.225117291840185,0.7209075511424958,0.8016830685153615,trending,trending,trending,OK,1715115600000000000
128,1715202000000000000,44.47218360150911,0.7104500500242665,0.802006067232117,trending,trending,trending,OK,1715202000000000000
129,1715288400000000000,42.4625727342529,0.6969011653069366,0.8020822455376448,trending,trending,trending,OK,1715288400000000000
130,1715374800000000000,39.90854350416454,0.6762633329468647,0.8021726809499499,trending,trending,trending,OK,1715374800000000000
131,1715461200000000000,38.08244053905697,0.6474544820383009,0.8021148621197943,trending,trending,trending,OK,1715461200000000000
132,1715547600000000000,35.72510285894061,0.6180036902310164,0.8019899622660747,trending,trending,trending,OK,1715547600000000000
133,1715634000000000000,34.08020779265921,0.5466161641959141,0.8017517601321149,trending,random,unknown,UNKNOWN,1715634000000000000
134,1715720400000000000,31.912499364369005,0.4864915938712955,0.8013698390315305,trending,random,unknown,UNKNOWN,1715720400000000000
135,1715806800000000000,30.442186739997627,0.2714259790427144,0.8009993215025145,trending,mr,unknown,UNKNOWN,1715806800000000000
136,1715893200000000000,28.454112402471935,0.1721976819988573,0.800614882938566,trending,mr,unknown,UNKNOWN,1715893200000000000
137,1715979600000000000,27.149132815759135,0.19168968017770602,0.8003340392855242,trending,mr,unknown,UNKNOWN,1715979600000000000
138,1716066000000000000,25.329062336109253,-0.005456994620023853,0.7998009265596413,trending,mr,unknown,UNKNOWN,1716066000000000000
139,1716152400000000000,24.178701403676776,-0.005456994620009637,0.7992676437764403,transitional,mr,unknown,UNKNOWN,1716152400000000000
140,1716238800000000000,22.514248763307403,-0.005456994620023853,0.798335858756318,transitional,mr,unknown,UNKNOWN,1716238800000000000
141,1716325200000000000,21.50711618832699,-0.005456994620009637,0.7971900727683506,transitional,mr,unknown,UNKNOWN,1716325200000000000
142,1716411600000000000,19.98573163182996,-0.005456994620023853,0.7959319015291174,chop,mr,trending,OK,1716411600000000000
143,1716498000000000000,19.110294708451537,-0.005456994620009637,0.7944823597715336,chop,mr,chop,OK,1716498000000000000
144,1716584400000000000,17.77088975912188,-0.005456994620023853,0.7930384932212922,chop,mr,chop,OK,1716584400000000000
145,1716670800000000000,17.012169184614674,-0.005456994620009637,0.7913418094237055,chop,mr,chop,OK,1716670800000000000
146,1716757200000000000,15.856985037296807,-0.005456994620023853,0.7894428128604465,chop,mr,chop,OK,1716757200000000000
147,1716843600000000000,15.19970027108988,-0.005456994620009637,0.787303673774166,chop,mr,chop,OK,1716843600000000000
148,1716930000000000000,14.203217006779337,-0.005456994620023853,0.7849550435186076,chop,mr,chop,OK,1716930000000000000
149,1717016400000000000,13.634010193707274,-0.005456994620009637,0.7825756945561724,chop,mr,chop,OK,1717016400000000000
150,1717102800000000000,12.77429308927574,-0.005456994620023853,0.7800881148321437,chop,mr,chop,OK,1717102800000000000
151,1717189200000000000,12.281509706265288,-0.005456994620009637,0.7773586557447132,chop,mr,chop,OK,1717189200000000000
152,1717275600000000000,11.53969168609997,-0.005456994620023853,0.7739451098032856,chop,mr,chop,OK,1717275600000000000
153,1717362000000000000,11.113179211969548,-0.005456994620009637,0.7703889954810159,chop,mr,chop,OK,1717362000000000000
154,1717448400000000000,10.47302192882253,-0.005456994620023853,0.7659265820007328,chop,mr,chop,OK,1717448400000000000
155,1717534800000000000,10.103947520929411,-0.005456994620009637,0.7611649317121837,chop,mr,chop,OK,1717534800000000000
156,1717621200000000000,9.551468000852541,-0.005456994620023853,0.755638725069816,chop,mr,chop,OK,1717621200000000000
157,1717707600000000000,9.232154986753907,-0.005456994620009637,0.7503030739874199,chop,mr,chop,OK,1717707600000000000
158,1717794000000000000,8.755307263529287,-0.005456994620023853,0.7435181997572352,chop,mr,chop,OK,1717794000000000000
159,1717880400000000000,8.479089571149602,-0.005456994620009637,0.7355936435811518,chop,mr,chop,OK,1717880400000000000
160,1717966800000000000,8.067492662285625,-0.005456994620023853,0.7255962996454877,chop,mr,chop,OK,1717966800000000000
161,1718053200000000000,7.828585940980757,-0.005456994620009637,0.714202204160971,chop,mr,chop,OK,1718053200000000000
162,1718139600000000000,7.47329103146366,-0.005456994620023853,0.7019261015408009,chop,mr,chop,OK,1718139600000000000
163,1718226000000000000,7.266679044501088,-0.005456994620009637,0.6851276705652012,chop,mr,chop,OK,1718226000000000000
164,1718312400000000000,6.959969950796947,-0.005456994620023853,0.6688476591504449,chop,mr,chop,OK,1718312400000000000
165,1718398800000000000,6.781304772841592,-0.005456994620009637,0.6385482763019357,chop,mr,chop,OK,1718398800000000000
166,1718485200000000000,6.5165267321227995,-0.005456994620023853,0.6126144737378554,chop,mr,chop,OK,1718485200000000000
167,1718571600000000000,6.362041314845264,-0.005456994620009637,0.5568520834856052,chop,mr,chop,OK,1718571600000000000
168,1718658000000000000,6.133453936377776,-0.005456994620023853,0.5112202219355078,chop,mr,chop,OK,1718658000000000000
169,1718744400000000000,5.999885679614271,-0.005456994620009637,0.38952086709069966,chop,mr,chop,OK,1718744400000000000
170,1718830800000000000,5.802536545808986,-0.005456994620023853,0.30222017720625494,chop,mr,chop,OK,1718830800000000000
