# TYPE: validation-run
# SEED: 20260916 // DGP: venue A leads (quotes m_t); venue B lags 4 bars (quotes m_{t-4}); all values synthetic
t,mid_A,mid_B
178,99.9903513606,99.9912604180
179,99.9909394136,99.9915553174
180,99.9905473672,99.9914131464
181,99.9905074104,99.9910427945
182,99.9890385834,99.9906072452
183,99.9896273507,99.9910134643
184,99.9898929957,99.9908148606
185,99.9884902112,99.9903791499
186,99.9890896919,99.9891663572
187,99.9886661132,99.9897133402
188,99.9889988446,99.9898763976
189,99.9894548532,99.9889740261
190,99.9893611238,99.9889473115
191,99.9883177234,99.9890728522
192,99.9880355410,99.9892385006
193,99.9881146057,99.9899052576
194,99.9886763034,99.9893278223
195,99.9890980126,99.9886118750
196,99.9888785899,99.9881810404
197,99.9901663073,99.9880738545
198,99.9897059117,99.9885290366
199,99.9899334086,99.9890629798
200,99.9897345961,99.9883689824
201,99.9899158407,99.9895118799
202,99.9893709842,99.9895628183
203,99.9873111323,99.9902776952
204,99.9876252859,99.9898880906
205,99.9877416887,99.9899494820
206,99.9872241537,99.9892787077
207,99.9873113124,99.9873182825
208,99.9875264812,99.9873053799
209,99.9872074728,99.9872444278
210,99.9880521809,99.9872421714
211,99.9878862504,99.9878046331
212,99.9882423676,99.9873619767
213,99.9884074369,99.9868969072
214,99.9886371305,99.9875068579
215,99.9893719618,99.9880254256
216,99.9898366865,99.9878916450
217,99.9899757310,99.9884121328
218,99.9902545783,99.9890301202
219,99.9898700596,99.9894344852
220,99.9897234589,99.9899721370
221,99.9898681822,99.9895769264
222,99.9898056702,99.9899530538
223,99.9902133071,99.9896511434
224,99.9898184899,99.9897818536
225,99.9891068273,99.9894866587
226,99.9882207910,99.9893568703
227,99.9873961115,99.9899554138
228,99.9884421841,99.9892056243
229,99.9886169682,99.9887061679
230,99.9894509068,99.9879131615
231,99.9882559153,99.9875087741
232,99.9878863991,99.9882789271
233,99.9887947392,99.9889752293
234,99.9891186393,99.9891930492
235,99.9883453143,99.9882601927
236,99.9882408851,99.9881088591
237,99.9891533582,99.9893383595
238,99.9892959059,99.9889264479
239,99.9890681410,99.9887163079
240,99.9883146476,99.9882227668
241,99.9885931972,99.9886335061
242,99.9902906025,99.9892416940
243,99.9894886197,99.9885146760
244,99.9888212125,99.9883736995
245,99.9890080580,99.9888156829
246,99.9889709732,99.9902191173
247,99.9898986260,99.9895295022
248,99.9900223337,99.9887960526
249,99.9896530246,99.9887756766
250,99.9899400321,99.9885915565
251,99.9893165392,99.9901709816
252,99.9896457902,99.9902400875
253,99.9903325073,99.9894275905
254,99.9890204195,99.9891929808
255,99.9888256870,99.9893873145
256,99.9891600067,99.9891403314
257,99.9895819086,99.9900229518
258,99.9900888706,99.9891568215
259,99.9898922072,99.9891852502
260,99.9899749733,99.9887428717
261,99.9899045811,99.9894808984
262,99.9895458849,99.9898379727
263,99.9901533858,99.9893669014
264,99.9893594082,99.9904393933
265,99.9893695587,99.9898947294
266,99.9899115194,99.9897226831
267,99.9898356577,99.9900337710
268,99.9897758702,99.9891039727
269,99.9891612502,99.9894541078
270,99.9897031735,99.9896199748
271,99.9898523513,99.9899765203
272,99.9900228232,99.9899094727
273,99.9898947691,99.9894727623
274,99.9911044481,99.9892392388
275,99.9908976961,99.9897766153
276,99.9922820213,99.9901086484
277,99.9934189049,99.9902771084
278,99.9935490962,99.9911800596
279,99.9938099561,99.9908985337
280,99.9933557589,99.9921031955
281,99.9936833670,99.9934977769
282,99.9934998020,99.9933720069
283,99.9936532442,99.9936975045
284,99.9932683386,99.9933944136
285,99.9922468872,99.9934641515
286,99.9930937097,99.9930790963
287,99.9923915073,99.9935721535
288,99.9922712708,99.9931219654
289,99.9933502469,99.9920967402
290,99.9941758516,99.9926206850
291,99.9939546932,99.9919439180
292,99.9932178141,99.9924962554
293,99.9938350860,99.9930755399
294,99.9948553681,99.9940056354
295,99.9954581265,99.9937188249
296,99.9958389800,99.9930881975
297,99.9971660296,99.9939767010
298,99.9979861516,99.9942834830
299,99.9983010333,99.9952828054
300,99.9970031595,99.9961480268
301,99.9972770604,99.9970885676
302,99.9971238827,99.9979787558
303,99.9963329210,99.9981740817
304,99.9969726739,99.9973454347
305,99.9958506323,99.9972944780
306,99.9959491128,99.9973815642
307,99.9960596050,99.9964923300
308,99.9959411585,99.9967459289
309,99.9947003655,99.9953115112
310,99.9941645502,99.9958657464
311,99.9937193594,99.9964237455
312,99.9939271336,99.9955674742
313,99.9940948607,99.9951295983
314,99.9932779848,99.9940826052
315,99.9931966418,99.9938871635
316,99.9928420863,99.9946858855
317,99.9939416186,99.9936899769
318,99.9940898188,99.9931242736
319,99.9943862332,99.9933603104
320,99.9941632111,99.9928396610
321,99.9937202736,99.9939873900
322,99.9940018539,99.9937620243
323,99.9927471197,99.9943871263
324,99.9924229938,99.9940133594
325,99.9927715217,99.9942043225
326,99.9930851846,99.9937044513
327,99.9933403789,99.9927002018
328,99.9921474027,99.9921597159
329,99.9937556106,99.9928071751
330,99.9943404214,99.9935655566
331,99.9949252793,99.9930434173
332,99.9954809829,99.9923653068
333,99.9953771671,99.9930644145
334,99.9957143994,99.9943090514
335,99.9962258222,99.9950828332
336,99.9965412860,99.9957889390
337,99.9966163566,99.9954450295
338,99.9973619639,99.9953662992
339,99.9977816775,99.9959323501
340,99.9992115835,99.9965789168
341,99.9994157222,99.9966041837
342,99.9987328420,99.9975172227
343,99.9986590240,99.9980748172
344,99.9982382395,99.9993083833
345,99.9991667449,99.9992138890
346,99.9986681815,99.9983956701
347,99.9995917672,99.9979677008
348,99.9987904130,99.9986412437
349,99.9993722195,99.9993907103
350,100.0002470256,99.9989102085
351,99.9999996461,99.9999518408
352,100.0002562643,99.9990511097
353,99.9996323798,99.9996707370
354,100.0002881871,100.0006208629
355,99.9989751939,99.9998474086
356,99.9986978547,99.9999432038
357,99.9979171597,99.9998173865
358,99.9983570574,99.9998147141
359,99.9983504232,99.9993882738
360,99.9976745737,99.9986322631
361,99.9976011571,99.9978753505
362,99.9976702469,99.9980091754
363,99.9982728524,99.9982979889
364,99.9980789070,99.9978282562
365,99.9980207695,99.9976688796
366,99.9973561058,99.9972881739
367,99.9974848853,99.9974772635
368,99.9965700422,99.9980535670
369,99.9963294052,99.9977284168
370,99.9973393889,99.9975784782
371,99.9974097643,99.9971647759
372,99.9975916943,99.9969955367
373,99.9972641295,99.9970774231
374,99.9973297794,99.9968701500
375,99.9974793422,99.9972695287
376,99.9970092359,99.9969969993
377,99.9973173263,99.9970395848
378,99.9968961455,99.9973934654
379,99.9971861371,99.9976778310
380,99.9968417155,99.9970914410
381,99.9983643234,99.9968285572
382,99.9988960377,99.9971684303
383,99.9987355230,99.9971695518
384,99.9989143604,99.9970239082
385,99.9981026337,99.9987823952
386,99.9981923177,99.9987919923
387,99.9989614256,99.9989429147
388,99.9985710939,99.9987794776
389,99.9984864362,99.9983300163
390,99.9993316324,99.9981613653
391,100.0004134667,99.9988777141
392,100.0003908155,99.9987538741
393,100.0010532823,99.9983069465
394,100.0016932990,99.9993169165
395,100.0033118585,100.0003730814
396,100.0036053626,100.0003615132
397,100.0042988769,100.0010730154
398,100.0038867106,100.0018579077
399,100.0036247008,100.0026303088
400,100.0039539544,100.0038071027
401,100.0041254229,100.0041668387
402,100.0048954736,100.0040776398
403,100.0050557556,100.0036206076
404,100.0043249545,100.0036731176
405,100.0037688080,100.0040749349
406,100.0041562414,100.0045532976
407,100.0048060853,100.0052716559
408,100.0043636584,100.0042475837
409,100.0034540717,100.0041203423
410,100.0024506771,100.0039216581
411,100.0023849104,100.0046824910
412,100.0020327375,100.0050112691
413,100.0018705847,100.0036375200
414,100.0010398129,100.0024216533
415,100.0018154833,100.0022844595
416,100.0015421387,100.0017908750
417,100.0020951681,100.0021166441
418,100.0020849756,100.0012150640
419,100.0024170193,100.0021886916
420,100.0020734143,100.0017932395
421,100.0019635307,100.0023103558
422,100.0019083599,100.0023258532
423,100.0017769878,100.0026034129
424,100.0023364643,100.0022343217
425,100.0025357836,100.0021337924
426,100.0025448204,100.0022678002
427,100.0020928238,100.0020856334
428,100.0019810108,100.0029382247
429,100.0023549292,100.0026676372
430,100.0019660643,100.0024151300
431,100.0021902755,100.0019555431
432,100.0026425107,100.0019790085
433,100.0031790599,100.0020533225
434,100.0033890972,100.0022868978
435,100.0037714684,100.0023419683
436,100.0042249766,100.0023843446
437,100.0046870196,100.0031328011
438,100.0060247813,100.0033861975
439,100.0057770209,100.0041699573
440,100.0062386450,100.0050013663
441,100.0066157639,100.0049875350
442,100.0062431809,100.0065012900
443,100.0062670918,100.0058547445
444,100.0054347277,100.0059540117
445,100.0052490430,100.0065045609
446,100.0052126286,100.0063893418
447,100.0048042135,100.0063192330
448,100.0047203703,100.0056228033
449,100.0052886003,100.0056393812
450,100.0069046694,100.0048383669
451,100.0065905900,100.0050486963
452,100.0066396997,100.0049653278
453,100.0069721972,100.0053160112
454,100.0062372033,100.0063140088
455,100.0067288138,100.0063724773
456,100.0069564948,100.0068059100
457,100.0075718227,100.0066445863
458,100.0075198962,100.0061909580
459,100.0075283024,100.0066966935
460,100.0075529450,100.0071319982
461,100.0078713357,100.0074915377
462,100.0073150774,100.0073224508
463,100.0072328067,100.0075825430
464,100.0070108031,100.0074979315
465,100.0069448234,100.0077778022
466,100.0079333426,100.0072641083
467,100.0076164367,100.0074491277
468,100.0074160742,100.0069423894
469,100.0081077357,100.0074510631
470,100.0079661187,100.0079211859
471,100.0075161957,100.0075431221
472,100.0074853607,100.0075035429
473,100.0072776606,100.0083155244
474,100.0065541651,100.0082476360
475,100.0061615833,100.0073966865
476,100.0066555583,100.0073609918
477,100.0058846470,100.0072631776
478,100.0059450885,100.0068794731
479,100.0053497852,100.0065607245
480,100.0054769507,100.0066867361
481,100.0053986053,100.0059272715
482,100.0060870886,100.0055114773
483,100.0070585932,100.0055334398
484,100.0066873921,100.0050102397
485,100.0068363378,100.0054112919
486,100.0077341404,100.0065337928
487,100.0070033822,100.0071369434
488,100.0068101710,100.0067457440
489,100.0079214789,100.0069386943
490,100.0084121197,100.0074708851
491,100.0082433232,100.0069059689
492,100.0082527325,100.0069540037
493,100.0082294642,100.0075621777
494,100.0079721707,100.0086847019
495,100.0081371831,100.0085147408
496,100.0085191960,100.0076795485
497,100.0083509966,100.0077864272
498,100.0079663384,100.0079752319
499,100.0066549342,100.0082839893
